Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Transmission System Interruption,2010,6/9/2010,2:18 p.m.,6/9/2010,3:00 PM,North Carolina Eastern Municipal Power Agency,"Edenton, NC",SERC,N/A,"4,196",transmission interruption
Storm,2010,6/8/2010,11:00 a.m.,6/8/2010,5:00 PM,Centerpoint Energy,Southeastern Texas,TRE,N/A,"79,741","severe weather, thunderstorm"
Load Shed,2010,6/7/2010,6:29 p.m.,6/8/2010,1:00 AM,Public Service Company of Colorado,Denver Metropolitan Area,WECC,300,"31,000",load shedding
Electrical System Separation,2010,6/6/2010,4:45 a.m.,6/6/2010,5:35 AM,Pacific Gas and Electric,Northern California,WECC,3,"2,650",islanding
Severe Weather,2010,6/2/2010,8:18 p.m.,6/4/2010,8:00 AM,CPS Energy,"San Antonio, TX",TRE,N/A,"126,000",severe weather
Load Shed,2010,6/1/2010,10:03 p.m.,6/18/2010,12:30 AM,Southern Indiana Gas and Electric Company,Southwestern Indiana,RFC,500,1,load shedding
Public Appeal,2010,5/26/2010,11:45 a.m.,5/26/2010,3:00 PM,Allegheny Power,"Maryland, Pennsylvania, West Virginia, Virginia","RFC, SERC",N/A,N/A,public appeal
Equipment Failure,2010,5/18/2010,8:15 a.m.,5/18/2010,10:46 PM,California Department of Water Resources,Central California,WECC,318,N/A,breaker trip
Storm,2010,5/2/2010,2:40 p.m.,5/9/2010,7:30 PM,Tennesse Valley Authority,Tennessee and Mississippi,SERC,N/A,"50,500","severe weather, thunderstorm"
Transmission System Interruption,2010,4/27/2010,2:55 p.m.,4/27/2010,2:55 PM,North Carolina Eastern Municipal Power Agency,"Rocky Mount, NC",SERC,N/A,"29,376",transmission interruption
Generator Trip,2010,4/21/2010,3:05 p.m.,4/21/2010,8:00 PM,Dow Chemical Co,"Iberville, Parish, Louisiana",SERC,N/A,N/A,generator trip
Storm,2010,4/16/2010,5:15 p.m.,4/18/2010,5:00 PM,Allegheny Power,Southwestern Pennsylvania,RFC,15,"120,000","severe weather, thunderstorm"
Load Shed,2010,3/31/2010,11:59 p.m.,4/1/2010,12:55 AM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,324,"290,000",load shedding
Load Shed,2010,3/31/2010,11:59 p.m.,4/1/2010,12:38 AM,California Independent System Operator,San Diego,WECC,324,N/A,load shedding
High Winds and Rain,2010,3/13/2010,12:00 p.m.,3/15/2010,8:05 PM,ISO New England,Connecticut,NPCC,50,"50,246","severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,1:00 a.m.,3/16/2010,6:40 PM,Exelon Corporation/PECO,Southeasten Pennsylvania,RFC,N/A,"177,528","severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,3:00 p.m.,3/17/2010,4:00 PM,Long Island Power Authority,Long Island,NPCC,N/A,"153,000","severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,6:00 p.m.,3/20/2010,12:59 PM,Public Service Electric & Gas Company,"Southern, Central and Northern New Jersey",RFC,100,"360,000","severe weather, wind, rain"
High Winds and Rain,2010,3/13/2010,6:00 p.m.,3/20/2010,9:00 AM,Consolidated Edison of NY,New York City and Westchester County,NPCC,N/A,"173,000","severe weather, wind, rain"
Flood,2010,3/13/2010,4:00 p.m.,3/16/2010,12:00 AM,Jersey Central Power and Light Company,Central New Jersey and Northern New Jersey,RFC,N/A,"180,000","severe weather, wind, flooding"
Storm,2010,2/25/2010,12:01 a.m.,2/26/2010,9:00 PM,Orange and Rockland Utilities Inc,"Southeastern New York, Northern New Jersey",,N/A,"65,000","severe weather, winter storm"
Storm,2010,2/25/2010,5:00 p.m.,3/2/2010,7:00 PM,Consolidated Edison of NY,New York City,NPCC,N/A,"55,000","severe weather, winter storm"
Storm,2010,2/25/2010,11:53 p.m.,3/1/2010,4:40 PM,ISO New England,Southern Maine and New Hampshire,NPCC,510,"509,606","severe weather, winter storm"
Storm,2010,2/23/2010,10:00 p.m.,2/25/2010,4:00 PM,Central Hudson Gas & Electric Corp,Upstate New York,NPCC,N/A,"150,000","severe weather, winter storm"
Load Shed,2010,2/19/2010,8:30 p.m.,2/20/2010,4:01 AM,California Department of Water Resources,"San Joaquin Field Division/Bakersfield, CA",WECC,"1,000",N/A,load shedding
Storm,2010,2/14/2010,10:00 a.m.,2/14/2010,12:00 PM,Allegheny Power,Western Pennsylvania nd Northeast Central WV,RFC,900,"190,000","severe weather, winter storm"
Storm,2010,2/12/2010,5:00 a.m.,2/12/2010,5:00 PM,American Electric Power,"East Texas, Western Arkansas, Northern Lousiania",SPP,N/A,"52,999","severe weather, winter storm"
Storm,2010,2/11/2010,12:00 p.m.,2/15/2010,9:00 PM,Oncor Electric Delivery Company,Dallas/Fort Worth and East Texas,TRE,N/A,"500,000","severe weather, winter storm"
Storm,2010,2/9/2010,6:00 p.m.,2/14/2010,4:00 PM,Exelon Corporation,Southeastern Pennsylvania,RFC,N/A,"223,000","severe weather, winter storm"
Storm,2010,2/6/2010,8:00 a.m.,2/6/2010,9:00 AM,Delmarva Power & Light Company,Delmarva Peninsula,RFC,N/A,"58,491","severe weather, winter storm"
Storm,2010,2/6/2010,2:30 a.m.,2/7/2010,7:00 AM,Dominion,"Virginia, North Carolina",SERC,600,"104,736","severe weather, winter storm"
Storm,2010,2/5/2010,6:48 p.m.,2/7/2010,5:00 PM,Duke Energy Carolinas,North and South Carolina,SERC,500,"74,000","severe weather, winter storm"
Storm,2010,2/5/2010,3:00 p.m.,2/13/2010,4:00 PM,Atlantic City Electric,Southern NJ,RFC,N/A,"221,000","severe weather, winter storm"
Storm,2010,2/5/2010,7:00 p.m.,2/12/2010,3:46 PM,Potomac Electric Power Co,"District of Columbia, Prince Georges and Montgomery Co. MD",RFC,N/A,"97,651","severe weather, winter storm"
Storm,2010,2/5/2010,10:30 p.m.,2/12/2010,12:00 PM,Duquesne Light Company,Southwestern Pennsylvania,RFC,N/A,"57,000","severe weather, winter storm"
Storm,2010,2/5/2010,11:30 p.m.,2/7/2010,2:38 AM,American Electric Power,"Indiana, Ohio, W. Virginia and Virginia",RFC,N/A,"102,225","severe weather, winter storm"
Ice and Snow,2010,2/1/2010,2:32 p.m.,2/1/2010,5:00 PM,Western Farmers Electric Cooperative,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding"
Ice and Snow,2010,1/28/2010,12:00 p.m.,2/2/2010,12:00 PM,American Electric Power,Oklahoma,SPP,N/A,"68,705","severe weather, winter storm"
Ice and Snow,2010,1/20/2010,1:00 p.m.,1/24/2010,6:10 PM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N/A,"147,223","severe weather, storm"
Ice and Snow,2010,1/19/2010,2:30 p.m.,1/20/2010,3:00 PM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,"2,650","50,000","severe weather, storm"
Ice and Snow,2010,1/19/2010,7:30 a.m.,1/19/2010,12:24 PM,California ISO,San Francisco,WECC,300,"30,000","severe weather, storm"
Ice and Snow,2010,1/18/2010,11:30 a.m.,1/28/2010,8:00 AM,Pacific Gas and Electric Company,Northern and Central California,WECC,290,"1,700,000","severe weather, storm"
Load Shed,2010,1/11/2010,3:45 a.m.,1/11/2010,9:57 AM,Progress Energy Florida,Northern and Central Florida,"FRCC, SERC",N/A,N/A,"load shedding, public appeal"
Public Appeal,2010,1/6/2010,6:00 p.m.,1/8/2010,6:00 PM,Southwest Louisiana Electric Membership Corporation,Southwest Louisiana,SERC,N/A,N/A,public appeal
Severe Weather,2009,12/18/2009,8:00 p.m.,12/25/2009,9:30 p.m.,American Electric Power,"West Virginia, Kentucky, Ohio",RFC,N/A,"403,913",severe weather
Severe Weather,2009,12/18/2009,10:55 p.m.,12/19/2009,11:15 p.m.,Progress Energy Carolinas Inc,Western North Carolina,SERC,N/A,"47,000",severe weather
Severe Weather,2009,12/10/2009,5:45 p.m.,12/12/2009,8:00 a.m.,Detroit Edison,Michigan,RFC,N/A,"65,562",severe weather
Severe Weather,2009,12/9/2009,1:37 p.m.,12/10/2009,6:30 a.m.,American Electric Power,Ohio,RFC,N/A,"48,102",severe weather
Load Shed,2009,12/8/2009,6:34 a.m.,12/8/2009,12:00 p.m.,California Independent System Operator,California,WECC,N/A,N/A,"load shedding, public appeal"
Severe Weather,2009,12/8/2009,1:00 a.m.,12/10/2009,11:00 a.m.,Arizona Public Service,Arizona,WECC,N/A,"140,000",severe weather
Equipment Failure,2009,12/7/2009,10:00 p.m.,12/8/2009,4:00 a.m.,California Department of Water Resources,California,WECC,400,N/A,equipment failure
Equipment Failure,2009,11/18/2009,6:15 a.m.,11/18/2009,10:00 a.m.,California Dept of Water Resources,"Central Valley, CA",WECC,630,N/A,equipment failure
Ice and Snow,2009,11/12/2009,6:45 p.m.,11/14/2009,4:25 a.m.,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,"335,000","severe weather, hurricane/tropical storm"
High Winds and Rain,2009,10/13/2009,3:45 p.m.,10/13/2009,5:50 p.m.,Sacramento Municipal Utility District,Sacramento County,WECC,90,"94,000","severe weather, wind"
Ice and Snow,2009,10/13/2009,12:48 p.m.,10/13/2009,2:34 p.m.,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,101,"35,500","severe weather, winter storm"
High Winds and Rain,2009,10/13/2009,4:00 p.m.,10/13/2009,10:30 p.m.,Pacific Gas and Electric,Northern California,WECC,350,"859,554","severe weather, wind, rain"
Transmission System Interruption,2009,10/9/2009,6:30 p.m.,10/9/2009,7:10 p.m.,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",WECC,180,N/A,transmission interruption
Storm,2009,10/9/2009,10:45 p.m.,10/11/2009,4:00 p.m.,Entergy Corporation,Arkansas and North Louisiana,SERC,N/A,"56,000","severe weather, winter storm"
Storm,2009,10/7/2009,5:45 a.m.,10/9/2009,11:00 p.m.,Detroit Edison,Southeast Michigan,RFC,N/A,"75,000","severe weather, storm"
Public Appeal,2009,8/31/2009,10:31 a.m.,8/31/2009,12:00 a.m.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,N/A,N/A,public appeal
Electrical System Separation,2009,8/29/2009,11:00 a.m.,8/29/2009,2:01 p.m.,Western Area Power Administration Upper Great Plains Region,Western South Dakota,MRO,373,18,islanding
Electrical System Separation,2009,8/29/2009,10:54 p.m.,8/29/2009,11:53 p.m.,Midwest ISO,Western South Dakota,RFC,84,0,islanding
Storm,2009,8/21/2009,7:00 p.m.,8/22/2009,8:00 a.m.,CenterPoint Energy,Houston Metropolitan Service Area,TRE,544,"80,000","severe weather, thunderstorm"
Storm,2009,8/12/2009,6:25 p.m.,8/12/2009,10:00 a.m.,CenterPoint Energy,South Houston Service Area,TRE,491,"73,000","severe weather, thunderstorm"
Storm,2009,8/9/2009,7:31 p.m.,8/10/2009,9:59 a.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,N/A,"58,156","severe weather, thunderstorm"
High Winds and Rain,2009,8/7/2009,11:00 p.m.,8/11/2009,10:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,N/A,"137,000","severe weather, wind, rain"
Public Appeal,2009,8/5/2009,3:00 p.m.,8/5/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,N/A,N/A,public appeal
Storm,2009,8/4/2009,1:45 p.m.,8/8/2009,9:00 p.m.,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,"63,700","severe weather, thunderstorm"
High Winds and Rain,2009,8/2/2009,2:17 a.m.,8/3/2009,1:09 p.m.,PECO Energy,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsyvania",RFC,N/A,"70,264","severe weather, wind"
Equipment Failure,2009,7/28/2009,8:18 p.m.,7/28/2009,8:33 p.m.,PacificCorp,Salt Lake City Utah and Northern Utah,WECC,316,N/A,equipment failure
Equipment Failure,2009,7/27/2009,5:05 a.m.,7/27/2009,5:47 a.m.,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,N/A,N/A,equipment failure
Unit Tripped,2009,7/21/2009,5:34 a.m.,7/21/2009,8:43 a.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,136,1,generator trip
Storm,2009,7/20/2009,9:50 p.m.,7/22/2009,7:00 p.m.,Public Service Company of Colorado,"Metro Denver (Jefferson, Adams, and Arapahoe Counties)",WECC,150,"86,058","severe weather, thunderstorm"
Storm,2009,7/18/2009,7:00 p.m.,7/19/2009,9:00 p.m.,CenterPoint Energy,Houston/Galveston Area,TRE,51,"73,000","severe weather, thunderstorm"
Public Appeal,2009,7/16/2009,1:00 p.m.,7/16/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,N/A,N/A,public appeal
Public Appeal,2009,7/15/2009,1:00 p.m.,7/15/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,N/A,N/A,public appeal
Public Appeal,2009,7/14/2009,1:00 p.m.,7/14/2009,6:00 p.m.,AEP West,AEP SWEPCO/Louisiana Area,SPP,N/A,N/A,public appeal
Public Appeal,2009,7/8/2009,1:30 p.m.,7/8/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,N/A,N/A,public appeal
Public Appeal,2009,7/7/2009,3:30 p.m.,7/7/2009,7:00 p.m.,ERCOT ISO,"San Antonio, Texas",TRE,N/A,N/A,public appeal
Electrical System Separation,2009,7/2/2009,10:44 p.m.,7/3/2009,1:25 a.m.,ISO New England,Northern Maine,NPCC,0,0,islanding
Storm,2009,6/26/2009,5:00 p.m.,6/29/2009,9:00 a.m.,Connecticut Light and Power,Central Connecticut,NPCC,N/A,"50,752","severe weather, thunderstorm"
Storm,2009,6/26/2009,1:00 a.m.,6/27/2009,9:00 a.m.,Duke Energy Midwest,"Southwest Ohio, Northern Kentudky, Central and Southern Indiana",RFC,327,"85,000","severe weather, thunderstorm"
High Winds and Rain,2009,6/25/2009,3:30 p.m.,6/28/2009,8:00 p.m.,Detroit Edison,Western Region of Service Territory,RFC,N/A,"118,000","severe weather, wind, rain"
Public Appeal,2009,6/25/2009,3:16 p.m.,6/25/2009,7:00 p.m.,ERCOT ISO,ERCOT Region,TRE,N/A,N/A,public appeal
Public Appeal,2009,6/24/2009,1:30 p.m.,6/24/2009,10:00 p.m.,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Southwest Louisiana,SERC,N/A,N/A,public appeal
Storm,2009,6/19/2009,1:00 p.m.,6/19/2009,11:59 p.m.,Exelon Corporation ComEd,The Entire ComEd Service Territory,SERC,N/A,"245,000","severe weather, storm"
Storm,2009,6/19/2009,12:01 a.m.,6/21/2009,11:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,75,"99,000","severe weather, storm"
Fuel Supply Emergency,2009,6/16/2009,11:00 p.m.,6/17/2009,2:00 a.m.,California Department of Water Resources,A.D. Edmonston Pumping Plant,WECC,300,0,fuel supply emergency
Storm,2009,6/12/2009,4:37 p.m.,6/12/2009,6:53 p.m.,Tennessee Valley Authority,"Chattanooga, Tennessee",SERC,860,"136,000","severe weather, storm"
Storm,2009,6/12/2009,10:00 p.m.,6/13/2009,6:00 p.m.,Southern Company,Georgia,SERC,290,"102,000","severe weather, thunderstorm"
Storm,2009,6/12/2009,5:45 p.m.,6/15/2009,11:59 p.m.,Entergy Corporation,"Arkansas, North Mississippi",SERC,N/A,"81,645","severe weather, thunderstorm"
Storm,2009,6/10/2009,6:00 p.m.,6/14/2009,10:00 a.m.,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,N/A,"800,000","severe weather, storm"
Storm,2009,6/9/2009,5:25 p.m.,6/11/2009,5:00 a.m.,Baltimore Gas and Electric,Central Maryland,RFC,60,"85,091","severe weather, thunderstorm"
Electrical System Separation,2009,6/5/2009,1:38 p.m.,6/5/2009,8:18 p.m.,Pacific Gas and Electric,East of Fresno California,WECC,1,70,islanding
Equipment Failure,2009,5/29/2009,9:05 a.m.,5/29/2009,7:57 p.m.,Big Rivers Electric Corporation,"Henderson County, Kentucky",SERC,342,1,"equipment failure, transmission interruption"
Storm,2009,5/8/2009,7:30 a.m.,5/8/2009,9:00 a.m.,The Empire District Electric Company,SW Missouri,SERC,266,"83,000","severe weather, thunderstorm"
Storm,2009,5/8/2009,1:30 p.m.,5/14/2009,11:20 p.m.,Ameren,Southern Illinois,SERC,300,"68,800","severe weather, thunderstorm"
High Winds and Rain,2009,4/27/2009,3:30 p.m.,4/28/2009,11:30 a.m.,CenterPoint Energy,Greater Houston/Galveston Area,TRE,176,"158,000","severe weather, wind"
High Winds and Rain,2009,4/25/2009,2:30 p.m.,4/29/2009,1:00 a.m.,Detroit Edison,Western Region of Service Territory,RFC,N/A,"125,000","severe weather, wind, rain"
Equipment Failure,2009,4/24/2009,11:09 a.m.,4/24/2009,11:21 a.m.,Constellation Energy,"Ruston, Louisiana",SERC,32,"11,000",unknown
Fuel Supply Emergency,2009,4/23/2009,12:00 a.m.,Ongoing,Ongoing,"State of California, Department of Water Resources",Restricted Hydro Electric Capability,WECC,-,-,fuel supply emergency
Load Shed,2009,4/23/2009,5:54 p.m.,4/23/2009,7:58 p.m.,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,"280,000",load shedding
Transmission System Interruption,2009,4/23/2009,4:25 p.m.,4/24/2009,12:29 a.m.,Puget Sound Energy,"Skagit County, Washington",WECC,244,"93,300",equipment failure
Storm,2009,4/10/2009,10:00 p.m.,4/11/2009,2:30 a.m.,Southern Company,Alabama and Georgia,SERC,162,"56,679","severe weather, thunderstorm"
Storm,2009,4/6/2009,1:00 a.m.,4/8/2009,12:00 p.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,75,"70,793","severe weather, winter storm"
Unit Tripped,2009,3/8/2009,10:16 p.m.,3/8/2009,11:45 p.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,150,-,unknown
Public Appeal,2009,3/3/2009,10:00 p.m.,3/4/2009,8:17 p.m.,American Electric Power,"Roanoke, Virginia",RFC,350,0,public appeal
Unit Tripped,2009,3/3/2009,6:48 a.m.,4/26/2009,6:05 a.m.,"New Covert Generating Company, LLC",Southwest Michigan,RFC,378,N/A,equipment failure
Storm,2009,3/1/2009,10:00 p.m.,3/3/2009,6:00 p.m.,Dominion Virginia/North Carolina Power,Central Virginia - Spotsylvania County,SERC,210,"217,000","severe weather, winter storm"
Ice and Snow,2009,3/1/2009,8:54 p.m.,3/3/2009,4:06 p.m.,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"1,000","180,000","severe weather, winter storm"
Equipment Failure,2009,3/1/2009,12:15 a.m.,3/1/2009,3:00 a.m.,El Paso Electric Company,"City of El Paso, Texas, County of El Paso",WECC,250,"132,000","equipment failure, transmission interruption"
Severe Weather,2009,3/1/2009,4:00 p.m.,3/1/2009,11:25 p.m.,Southern Company,Southern Balancing Area,SERC,75,"60,000",severe weather
Ice and Snow,2009,2/23/2009,2:38 a.m.,2/24/2009,1:46 p.m.,Central Maine Power Company,Southern Central and Western Maine,NPCC,N/A,"131,000","severe weather, winter storm"
High Winds and Rain,2009,2/13/2009,2:30 a.m.,2/15/2009,3:00 a.m.,Ohio Edison Company,Central and Eastern Ohio,RFC,168,"184,000","severe weather, wind"
High Winds and Rain,2009,2/12/2009,2:30 a.m.,2/12/2009,6:00 a.m.,Midwest ISO,Central and Eastern Ohio,RFC,168,"184,000","severe weather, wind"
High Winds and Rain,2009,2/12/2009,8:00 a.m.,2/15/2009,10:00 p.m.,Penelec,Western and North Eastern Pennsylvania,RFC,130,"132,000","severe weather, wind"
Storm,2009,2/11/2009,6:18 p.m.,2/16/2009,8:10 p.m.,Allegheny Power,"Maryland, Virginia, West Virginia and Pennsylvania",RFC,N/A,"374,644","severe weather, thunderstorm"
Storm,2009,2/11/2009,6:00 p.m.,2/13/2009,5:00 p.m.,American Electric Power,"Kentucky, West Virginia and Ohio",RFC,N/A,"279,813","severe weather, thunderstorm"
Storm,2009,2/11/2009,9:00 p.m.,2/12/2009,12:00 p.m.,Midwest ISO,Northern Kentucky and Southwest Ohio,RFC,350,"63,000","severe weather, thunderstorm"
High Winds and Rain,2009,2/11/2009,2:30 a.m.,2/11/2009,12:00 p.m.,CenterPoint Energy,"Houston, Texas",TRE,350,"64,801","severe weather, wind"
Storm,2009,2/11/2009,7:00 p.m.,2/12/2009,11:00 a.m.,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,N/A,"78,000","severe weather, thunderstorm"
Storm,2009,1/28/2009,12:10 a.m.,1/30/2009,9:20 p.m.,Midwest ISO,East Central Missouri,RFC,300,1,"severe weather, winter storm"
Ice and Snow,2009,1/28/2009,10:00 a.m.,1/30/2009,9:20 p.m.,Duke Energy Ohio,Northern Kentucky and Southwest Ohio,RFC,N/A,"53,600","severe weather, winter storm"
Ice and Snow,2009,1/28/2009,7:50 a.m.,2/13/2009,8:03 a.m.,Duke Energy Indiana,Southern Indiana,RFC,N/A,"53,700","severe weather, winter storm"
Ice and Snow,2009,1/28/2009,3:00 a.m.,2/13/2009,8:03 a.m.,Midwest ISO,"Illinois, Indiana, Ohio and Kentucky",RFC,N/A,"230,300","severe weather, winter storm"
Ice and Snow,2009,1/28/2009,9:00 a.m.,2/5/2009,8:00 a.m.,Tennessee Valley Authority,Northeast Tennessee and Southwest Kentucky,SERC,N/A,"109,527","severe weather, winter storm"
Ice and Snow,2009,1/28/2009,6:00 a.m.,2/5/2009,6:00 p.m.,Vectren Energy Delivery of Indiana,"Indiana, Evansville, Metro Area",RFC,506,"75,000","severe weather, winter storm"
Ice and Snow,2009,1/28/2009,4:00 a.m.,2/7/2009,5:00 p.m.,Henderson Municipal Power and Light,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",RFC,21,"3,500","severe weather, winter storm"
Ice and Snow,2009,1/27/2009,3:43 p.m.,1/29/2009,9:00 a.m.,American Electric Power,CSWS-AEP West,RFC,N/A,"59,402","severe weather, winter storm"
Ice and Snow,2009,1/27/2009,7:10 a.m.,2/4/2009,7:30 p.m.,Big Rivers Electric Corporation,Western Kentucky and Southern Indiana,SERC,350,3,"severe weather, winter storm"
Ice and Snow,2009,1/27/2009,11:00 a.m.,1/30/2009,6:00 p.m.,"Associated Electric Cooperative, Inc.",South Central and Southeast Missouri,SERC,200,"62,500","severe weather, winter storm"
Ice and Snow,2009,1/27/2009,9:00 p.m.,1/29/2009,6:00 a.m.,Arkansas Electric Cooperative Corporation,Northern Arkansas,SERC,600,"215,700","severe weather, winter storm"
Ice and Snow,2009,1/27/2009,5:03 a.m.,1/31/2009,5:15 p.m.,"East Kentucky Power Cooperative, Inc.",Central and Eastern Kentrucky,SERC,600,"190,000","severe weather, winter storm"
Ice and Snow,2009,1/27/2009,1:46 p.m.,2/3/2009,5:00 p.m.,Entergy Corporation,Northern Arkansas,SERC,N/A,"111,818","severe weather, winter storm"
Ice and Snow,2009,1/27/2009,5:00 a.m.,1/29/2009,4:30 p.m.,Louisville Gas and Electric/Kentucky Utilities,State of Kentucky,RFC,N/A,"383,000","severe weather, winter storm"
Ice and Snow,2009,1/27/2009,9:45 p.m.,1/27/2009,10:17 p.m.,Tennessee Valley Autbority,TVA Service Territory,SERC,850,1,"severe weather, winter storm"
Load Shed,2009,1/22/2009,4:00 p.m.,1/22/2009,5:05 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,50,"9,700",load shedding
Fuel Supply Emergency,2009,1/17/2009,8:00 a.m.,1/25/2009,8:00 a.m.,"State Line Energy, LLC","PJM, Indiana",RFC,N/A,N/A,fuel supply emergency
Equipment Failure,2009,1/8/2009,11:46 p.m.,1/9/2009,11:25 a.m.,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FRCC,55,"31,000","equipment failure, transmission interruption"
High Winds and Rain,2009,1/7/2009,5:00 p.m.,1/7/2009,8:05 p.m.,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,300,"70,000","severe weather, wind"
Ice and Snow,2009,1/5/2009,5:00 a.m.,1/6/2009,6:00 p.m.,"Oncor Electric Delivery Company, LLC",North and Central Texas,TRE,N/A,"157,019","severe weather, storm"
Load Shed,2008,12/30/2008,4:02 p.m.,12/30/2008,4:37 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,41,"9,700",load shedding
Storm,2008,12/28/2008,4:45 a.m.,12/31/2008,6:00 p.m.,Consumers Energy,Michigan Lower Peninsula,RFC,N/A,"210,517","severe weather, wind"
Storm,2008,12/28/2008,11:45 a.m.,12/28/2008,11:30 p.m.,Midwest ISO,Michigan Lower Peninsula,RFC,N/A,"230,000","severe weather, wind"
Storm,2008,12/27/2008,4:00 p.m.,1/1/2008,11:30 p.m.,DTE Energy,Southeastern Michigan,RFC,N/A,"247,847","severe weather, wind"
Lightning,2008,12/26/2008,6:13 p.m.,12/27/2008,5:00 p.m.,"Hawaiian Electric Company, Inc.","Island of Oahu, Hawaii",HI,"1,060","294,000","severe weather, thunderstorm"
Load Shed,2008,12/26/2008,11:40 a.m.,12/26/2008,3:34 p.m.,Sacramento Municipal Utility District,"Orangevale Area of Sacramento, California",WECC,110,"50,000",load shedding
Ice and Snow,2008,12/19/2008,9:00 a.m.,12/20/2008,8:20 a.m.,Midwest ISO,Northwest Indiana,RFC,N/A,"50,000","severe weather, winter storm"
Electrical System Separation,2008,12/19/2008,1:02 a.m.,12/19/2008,6:17 a.m.,Pacific Gas and Electric Company,"East of Oroville, California",WECC,1,638,islanding
Ice and Snow,2008,12/19/2008,8:30 a.m.,12/22/2008,12:00 p.m.,American Electric Power,"Indiana, Michigan and Northwest Ohio",RFC,N/A,"140,000","severe weather, winter storm"
Declared Energy Emergency,2008,12/13/2008,3:30 p.m.,12/21/2008,9:17 a.m.,Pacific Gas and Electric Company,Humboldt Area of California,WECC,5,0,public appeal
Ice and Snow,2008,12/12/2008,8:45 a.m.,12/14/2008,9:52 a.m.,Central Maine Power Company,Southern and Central Maine,NPCC,N/A,"169,757","severe weather, winter storm"
Ice and Snow,2008,12/12/2008,1:00 a.m.,12/22/2008,12:00 a.m.,ISO New England,New England,NPCC,N/A,"970,000","severe weather, winter storm"
Ice and Snow,2008,12/12/2008,2:38 a.m.,12/19/2008,1:24 p.m.,National Grid,Eastern New York,NPCC,200,"190,000","severe weather, winter storm"
Ice and Snow,2008,12/11/2008,6:00 p.m.,12/15/2008,12:00 a.m.,Central Hudson Gas and Electric,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,N/A,"60,000","severe weather, winter storm"
Ice and Snow,2008,12/11/2008,9:00 a.m.,12/13/2008,11:59 p.m.,Entergy Corporation,"Southern Louisiana, Southern and Central Mississippi",SERC,N/A,"91,300","severe weather, winter storm"
Equipment Failure,2008,12/10/2008,5:09 p.m.,12/10/2008,8:29 p.m.,PacifiCorp,Southern Oregon,WECC,32,3,"equipment failure, public appeal"
Fault on Line,2008,12/9/2008,5:27 p.m.,12/10/2008,4:12 a.m.,Jersey Central Power and Light,Central New Jersey,RFC,438,"156,729",transmission interruption
Fire,2008,12/2/2008,4:30 a.m.,12/2/2008,7:00 a.m.,Midwest ISO,"St. Louis, Missouri",RFC,135,"53,000","wild fire, load shedding"
Fire,2008,11/15/2008,9:39 a.m.,11/15/2008,10:10 a.m.,Los Angeles Department of Water and Power,City of Los Angeles,WECC,211,"115,500","wild fire, load shedding"
Load Shed,2008,11/11/2008,8:30 a.m.,11/11/2008,12:19 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,250,"261,000",load shedding
