日期,辐照度均值,风速均值
140,218.875,3.7375
141,328.25,3.05
142,315.75,5.112500000000001
143,211.625,2.7
144,316.875,1.55
145,339.875,2.3625
146,347.875,2.7375
147,173.5,3.0625
148,278.125,4.65
149,310.0,3.8999999999999995
150,96.5,2.2375000000000003
151,187.25,2.75
152,124.125,3.8124999999999996
153,106.25,1.8499999999999999
154,164.375,4.0625
155,289.375,9.962500000000002
156,345.875,3.2500000000000004
157,336.625,1.8125
158,289.625,4.3
159,289.5,5.562499999999999
160,303.375,2.625
161,322.125,3.7
162,248.125,4.3875
163,123.5,2.725
164,152.875,1.55
165,314.5,2.9625
166,345.375,3.4000000000000004
167,120.625,2.825
168,286.25,3.4124999999999996
169,133.375,2.1125
170,294.0,1.6624999999999996
171,321.875,2.425
172,338.75,4.25
173,316.625,4.4624999999999995
174,218.25,4.862500000000001
175,312.75,3.325
176,312.25,2.4375
177,315.125,2.9749999999999996
178,301.75,2.7375
179,334.125,3.1125
180,346.25,3.4124999999999996
181,354.0,4.750000000000001
182,131.625,3.7249999999999996
183,294.75,2.8375
184,256.625,4.4750000000000005
185,310.25,4.362500000000001
186,326.0,3.7375000000000003
187,273.375,4.112500000000001
188,125.5,3.725
189,356.375,2.75
190,337.25,2.825
191,329.25,1.4374999999999998
192,358.375,3.0999999999999996
193,321.875,3.6875
194,323.625,4.112500000000001
195,319.0,4.5625
196,331.5,4.949999999999999
197,346.625,3.875
198,335.25,4.2625
199,336.125,5.137499999999999
200,307.875,7.625
201,328.875,7.4
202,305.75,7.05
203,289.25,6.637499999999999
204,286.625,5.1625000000000005
205,282.5,3.6999999999999993
206,264.875,3.3875
207,149.125,2.875
208,260.375,1.9000000000000001
209,299.375,2.3249999999999997
210,307.375,2.7124999999999995
211,280.375,5.5375000000000005
212,158.875,5.1000000000000005
213,325.25,1.475
214,315.625,4.15
215,316.0,3.475
216,300.375,4.9625
217,157.375,4.5375
218,178.5,2.9
219,301.125,2.8375
220,302.25,3.0625
221,292.75,3.8875
222,163.875,3.8249999999999997
223,288.375,2.3375
224,318.25,4.012499999999999
225,279.375,4.375
226,277.625,3.9875
227,271.5,5.2875000000000005
228,226.625,4.6
229,184.5,4.5625
230,211.0,3.8374999999999995
231,76.125,3.6125
232,222.625,2.45
233,99.0,3.55
234,109.75,2.6125000000000003
235,162.375,4.275
236,108.625,4.8625
237,123.25,1.65
238,69.0,3.8000000000000003
239,68.375,4.4375
240,168.375,1.775
241,225.0,2.45
242,256.25,3.7875
243,133.375,4.3875
244,121.375,3.075
245,161.125,2.6875
246,109.875,2.5875
247,265.75,2.3375
248,289.25,1.8750000000000002
249,117.125,2.3875
250,206.625,3.15
251,161.375,4.874999999999999
252,285.875,2.2750000000000004
253,282.125,1.7875
254,264.5,4.375
255,244.375,3.125
256,113.125,2.425
257,217.0,2.0999999999999996
258,152.5,2.6875
259,213.875,2.2875
260,162.5,4.475
261,105.0,2.5875000000000004
262,215.5,1.125
263,247.125,2.3375
264,227.125,2.8000000000000003
265,218.875,2.7125
266,86.125,2.4374999999999996
267,189.125,2.4375
268,107.375,4.0625
269,192.5,2.7874999999999996
270,237.25,2.3
271,210.75,4.6125
272,209.875,3.175
273,242.125,3.8125
274,189.875,5.025
275,92.5,1.8
276,230.875,1.875
277,235.125,2.05
278,219.625,2.8125
279,206.0,3.5999999999999996
280,169.0,5.35
281,94.125,1.8250000000000002
282,224.0,2.7125000000000004
283,187.5,1.925
284,225.125,2.8749999999999996
285,191.75,2.7375
286,135.125,2.175
287,79.375,2.5749999999999997
288,60.125,4.125
289,206.75,4.225
290,183.0,1.8625
291,210.875,1.6375000000000002
292,175.0,1.9125
293,167.625,3.3375
294,175.625,1.7125000000000001
295,189.5,2.2125
296,80.625,3.2125
297,187.125,8.862499999999999
298,196.125,2.6000000000000005
299,193.125,2.1875
300,190.875,1.8875000000000002
301,167.125,1.3875
302,165.25,2.4125
303,170.0,4.65
304,184.625,4.6625
305,178.875,4.625
306,180.0,1.8749999999999998
307,180.5,2.125
308,178.625,1.2875
309,143.5,5.95
310,174.375,3.0125
311,172.375,1.05
312,157.25,2.85
313,162.75,2.275
314,165.75,3.5125
315,168.125,8.1875
316,169.125,5.1625
317,167.125,3.475
318,128.375,0.925
319,156.125,0.975
320,150.125,3.3875
321,152.0,2.0125
322,150.875,4.675
323,134.125,1.5875
324,124.375,7.9
325,147.625,9.9
326,156.625,10.0125
327,155.625,5.65
328,155.75,7.1000000000000005
329,153.5,1.475
330,144.0,2.8
331,127.125,3.225
332,144.5,6.225
333,146.625,1.8374999999999997
334,146.875,4.95
335,140.375,4.0125
336,143.875,5.3125
337,138.75,1.8249999999999997
338,141.5,1.3125
339,136.375,2.875
340,111.0,3.6624999999999996
341,133.375,6.362500000000001
342,139.875,7.6
343,138.75,2.5625
344,137.625,1.1625
345,137.125,2.5374999999999996
346,132.75,3.4125000000000005
347,137.25,2.7375
348,135.5,2.2625
349,134.875,2.6125
350,134.875,1.2874999999999999
351,135.125,8.4625
352,139.375,9.3375
353,138.5,2.3125
354,137.0,1.1375
355,94.5,4.137499999999999
356,137.5,11.725000000000001
357,139.0,2.575
358,139.0,7.1
359,139.5,3.2
360,139.625,1.1875
361,122.125,4.3
362,76.5,7.6125
363,143.25,4.1499999999999995
364,140.25,1.5375000000000003
365,140.75,1.7375
366,87.875,2.8625
367,111.375,2.3875
368,143.25,1.175
369,135.5,1.6375000000000002
370,137.0,3.075
371,132.375,6.737500000000001
372,147.875,6.8125
373,146.875,10.100000000000001
374,147.625,6.862500000000001
375,149.0,4.9875
376,131.5,2.0
377,148.125,3.425
378,149.75,1.4125
379,98.75,4.4750000000000005
380,153.25,4.1499999999999995
381,143.375,5.1625000000000005
382,146.25,2.1875
383,156.0,4.362500000000001
384,155.75,4.1
385,160.125,8.637500000000001
386,163.625,7.0625
387,164.5,3.1125
388,151.0,3.0125
389,163.625,1.4999999999999998
390,138.625,1.8
391,164.625,2.8750000000000004
392,162.375,2.1875
393,165.25,3.35
394,151.25,6.5125
395,160.25,3.900000000000001
396,173.0,3.6375
397,176.75,2.1375
398,181.75,1.9
399,183.25,1.8874999999999997
400,185.5,1.675
401,177.875,3.7
402,164.75,2.05
403,171.125,6.05
404,126.0,1.6625000000000003
405,133.625,1.175
406,144.0,1.4624999999999997
407,146.375,1.1625
408,146.25,1.0125
409,145.125,2.1999999999999997
410,141.875,2.675
411,123.75,2.6375
412,118.375,2.0124999999999997
413,110.875,5.9125
414,123.5,3.225
415,149.25,0.8999999999999999
416,151.5,3.05
417,154.25,3.475
418,155.0,4.0
419,148.75,1.8625000000000003
420,156.125,7.162499999999999
421,131.375,2.675
422,98.5,5.1125
423,162.125,6.175
424,151.875,3.5500000000000007
425,133.0,1.9125
426,165.375,4.662499999999999
427,160.25,1.275
428,166.5,2.8499999999999996
429,167.375,0.725
430,115.875,3.1125000000000003
431,170.375,0.9874999999999999
432,157.25,1.0
433,161.875,1.5375
434,155.25,2.6375
435,175.5,3.3374999999999995
436,178.125,5.0625
437,177.375,1.5
438,174.0,0.85
439,180.25,2.2625
440,116.625,3.4875
441,177.125,0.7875
442,161.125,3.0375000000000005
443,131.125,3.0875
444,193.0,2.0250000000000004
445,199.375,0.8750000000000001
446,172.125,2.5375
447,153.5,1.625
448,194.625,3.125
449,186.625,2.0
450,202.875,2.675
451,207.0,1.4500000000000002
452,203.375,1.3125000000000002
453,190.875,4.0125
454,141.25,3.1375
455,127.25,4.7375
456,180.875,3.2
457,207.875,2.175
458,227.375,7.625
459,231.375,2.2875
460,215.5,3.2249999999999996
461,216.5,6.425000000000001
462,235.375,2.7375
463,219.125,1.725
464,223.25,3.2749999999999995
465,206.0,3.9750000000000005
466,204.125,6.2
467,237.75,2.7125
468,230.25,3.0875
469,238.875,3.0875
470,223.0,3.9499999999999993
471,128.125,3.1625
472,173.25,5.574999999999999
473,152.0,5.1375
474,188.125,2.725
475,211.375,1.55
476,245.0,2.5125
477,268.5,1.5374999999999999
478,262.375,2.65
479,223.75,3.6875
480,262.5,4.999999999999999
481,270.625,2.8625
482,231.0,3.1500000000000004
483,259.625,2.6874999999999996
484,258.0,8.6
485,238.125,3.1875
486,288.25,8.0
487,288.375,5.675
488,285.875,4.5
489,283.625,2.1999999999999997
490,238.875,4.300000000000001
491,288.5,4.0625
492,298.875,3.7124999999999995
493,288.625,2.1624999999999996
494,194.875,2.1125000000000003
495,235.125,2.25
496,265.625,2.5875000000000004
497,301.125,2.7375
498,293.25,1.8625
499,223.0,4.9125000000000005
500,237.875,4.725
501,233.5,4.5
502,218.5,3.2
503,222.875,3.2625
504,274.125,6.1375
505,291.875,5.8125
506,247.625,2.125
507,255.375,4.2625
508,287.375,6.375
509,318.0,7.9624999999999995
510,290.375,3.2750000000000004
511,288.0,7.55
512,317.375,3.6500000000000004
513,288.75,4.7625
514,307.125,3.4875000000000003
515,323.375,2.225
516,280.375,3.775
517,190.5,5.275
518,140.5,4.7
519,300.125,3.175
520,322.625,1.5875000000000001
521,321.375,1.7125
522,301.25,4.5
523,331.5,3.7624999999999997
524,194.625,6.0874999999999995
525,326.5,8.174999999999999
526,344.375,4.5125
527,223.625,5.1375
528,318.625,4.4
529,301.625,4.387499999999999
530,319.25,2.375
531,308.25,2.575
532,224.75,2.525
533,297.625,2.8499999999999996
534,338.5,1.7000000000000002
535,200.25,3.6875
536,310.625,5.7875000000000005
537,317.125,3.1499999999999995
538,331.0,3.0875000000000004
539,342.25,3.075
540,349.125,3.7874999999999996
541,339.75,3.5625
542,294.0,5.65
543,218.875,3.7375
544,328.25,3.05
545,315.75,5.112500000000001
546,211.625,2.7
547,316.875,1.55
548,339.875,2.3625
549,347.875,2.7375
550,173.5,3.0625
551,278.125,4.65
552,310.0,3.8999999999999995
553,96.5,2.2375000000000003
554,187.25,2.75
555,124.125,3.8124999999999996
556,106.25,1.8499999999999999
557,164.375,4.0625
558,289.375,9.962500000000002
559,345.875,3.2500000000000004
560,336.625,1.8125
561,289.625,4.3
562,289.5,5.562499999999999
563,303.375,2.625
564,322.125,3.7
565,248.125,4.3875
566,123.5,2.725
567,152.875,1.55
568,314.5,2.9625
569,345.375,3.4000000000000004
570,120.625,2.825
571,286.25,3.4124999999999996
572,133.375,2.1125
573,294.0,1.6624999999999996
574,321.875,2.425
575,338.75,4.25
576,316.625,4.4624999999999995
577,218.25,4.862500000000001
578,312.75,3.325
579,312.25,2.4375
580,315.125,2.9749999999999996
581,301.75,2.7375
582,334.125,3.1125
583,346.25,3.4124999999999996
584,354.0,4.750000000000001
585,131.625,3.7249999999999996
586,294.75,2.8375
587,256.625,4.4750000000000005
588,310.25,4.362500000000001
589,326.0,3.7375000000000003
590,273.375,4.112500000000001
591,125.5,3.725
592,356.375,2.75
593,337.25,2.825
594,329.25,1.4374999999999998
595,358.375,3.0999999999999996
596,321.875,3.6875
597,323.625,4.112500000000001
598,319.0,4.5625
599,331.5,4.949999999999999
600,346.625,3.875
601,335.25,4.2625
602,336.125,5.137499999999999
603,307.875,7.625
604,328.875,7.4
605,305.75,7.05
606,289.25,6.637499999999999
607,286.625,5.1625000000000005
608,282.5,3.6999999999999993
609,264.875,3.3875
610,149.125,2.875
611,260.375,1.9000000000000001
612,299.375,2.3249999999999997
613,307.375,2.7124999999999995
614,280.375,5.5375000000000005
615,158.875,5.1000000000000005
616,325.25,1.475
617,315.625,4.15
618,316.0,3.475
619,300.375,4.9625
620,157.375,4.5375
621,178.5,2.9
622,301.125,2.8375
623,302.25,3.0625
624,292.75,3.8875
625,163.875,3.8249999999999997
626,288.375,2.3375
627,318.25,4.012499999999999
628,279.375,4.375
629,277.625,3.9875
630,271.5,5.2875000000000005
631,226.625,4.6
632,184.5,4.5625
633,211.0,3.8374999999999995
634,76.125,3.6125
635,222.625,2.45
636,99.0,3.55
637,109.75,2.6125000000000003
638,162.375,4.275
639,108.625,4.8625
640,123.25,1.65
641,69.0,3.8000000000000003
642,68.375,4.4375
643,168.375,1.775
644,225.0,2.45
645,256.25,3.7875
646,133.375,4.3875
647,121.375,3.075
648,161.125,2.6875
649,109.875,2.5875
650,265.75,2.3375
651,289.25,1.8750000000000002
652,117.125,2.3875
653,206.625,3.15
654,161.375,4.874999999999999
655,285.875,2.2750000000000004
656,282.125,1.7875
657,264.5,4.375
658,244.375,3.125
659,113.125,2.425
660,217.0,2.0999999999999996
661,152.5,2.6875
662,213.875,2.2875
663,162.5,4.475
664,105.0,2.5875000000000004
665,215.5,1.125
666,247.125,2.3375
667,227.125,2.8000000000000003
668,218.875,2.7125
669,86.125,2.4374999999999996
670,189.125,2.4375
671,107.375,4.0625
672,192.5,2.7874999999999996
673,237.25,2.3
674,210.75,4.6125
675,209.875,3.175
676,242.125,3.8125
677,189.875,5.025
678,92.5,1.8
679,230.875,1.875
680,235.125,2.05
681,219.625,2.8125
682,206.0,3.5999999999999996
683,169.0,5.35
684,94.125,1.8250000000000002
685,224.0,2.7125000000000004
686,187.5,1.925
687,225.125,2.8749999999999996
688,191.75,2.7375
689,135.125,2.175
690,79.375,2.5749999999999997
691,60.125,4.125
692,206.75,4.225
693,183.0,1.8625
694,210.875,1.6375000000000002
695,175.0,1.9125
696,167.625,3.3375
697,175.625,1.7125000000000001
698,189.5,2.2125
699,80.625,3.2125
700,187.125,8.862499999999999
701,196.125,2.6000000000000005
702,193.125,2.1875
703,190.875,1.8875000000000002
704,167.125,1.3875
705,165.25,2.4125
706,170.0,4.65
707,184.625,4.6625
708,178.875,4.625
709,180.0,1.8749999999999998
710,180.5,2.125
711,178.625,1.2875
712,143.5,5.95
713,174.375,3.0125
714,172.375,1.05
715,157.25,2.85
716,162.75,2.275
717,165.75,3.5125
718,168.125,8.1875
719,169.125,5.1625
720,167.125,3.475
721,128.375,0.925
722,156.125,0.975
723,150.125,3.3875
724,152.0,2.0125
725,150.875,4.675
726,134.125,1.5875
727,124.375,7.9
728,147.625,9.9
729,156.625,10.0125
730,155.625,5.65
731,155.75,7.1000000000000005
732,153.5,1.475
733,144.0,2.8
734,127.125,3.225
735,144.5,6.225
736,146.625,1.8374999999999997
737,146.875,4.95
738,140.375,4.0125
739,143.875,5.3125
740,138.75,1.8249999999999997
741,141.5,1.3125
742,136.375,2.875
743,111.0,3.6624999999999996
744,133.375,6.362500000000001
745,139.875,7.6
746,138.75,2.5625
747,137.625,1.1625
748,137.125,2.5374999999999996
749,132.75,3.4125000000000005
750,137.25,2.7375
751,135.5,2.2625
752,134.875,2.6125
753,134.875,1.2874999999999999
754,135.125,8.4625
755,139.375,9.3375
756,138.5,2.3125
757,137.0,1.1375
758,94.5,4.137499999999999
759,137.5,11.725000000000001
760,139.0,2.575
761,139.0,7.1
762,139.5,3.2
763,139.625,1.1875
764,122.125,4.3
765,76.5,7.6125
766,143.25,4.1499999999999995
767,140.25,1.5375000000000003
768,140.75,1.7375
769,87.875,2.8625
770,111.375,2.3875
771,143.25,1.175
772,135.5,1.6375000000000002
773,137.0,3.075
774,132.375,6.737500000000001
775,147.875,6.8125
776,146.875,10.100000000000001
777,147.625,6.862500000000001
778,149.0,4.9875
779,131.5,2.0
780,148.125,3.425
781,149.75,1.4125
782,98.75,4.4750000000000005
783,153.25,4.1499999999999995
784,143.375,5.1625000000000005
785,146.25,2.1875
786,156.0,4.362500000000001
787,155.75,4.1
788,160.125,8.637500000000001
789,163.625,7.0625
790,164.5,3.1125
791,151.0,3.0125
792,163.625,1.4999999999999998
793,138.625,1.8
794,164.625,2.8750000000000004
795,162.375,2.1875
796,165.25,3.35
797,151.25,6.5125
798,160.25,3.900000000000001
799,173.0,3.6375
800,176.75,2.1375
801,181.75,1.9
802,183.25,1.8874999999999997
803,185.5,1.675
804,177.875,3.7
805,164.75,2.05
806,171.125,6.05
807,191.625,9.9
808,196.875,12.637500000000001
809,201.25,9.749999999999998
810,201.25,3.0999999999999996
811,169.75,1.9875
812,188.75,4.6125
813,195.125,7.1000000000000005
814,199.75,1.9625
815,165.625,4.4875
816,98.625,3.4874999999999994
817,212.75,2.8625
818,176.0,8.0875
819,203.875,8.875
820,222.75,4.499999999999999
821,176.25,6.674999999999999
822,215.125,5.612500000000001
823,223.875,1.5124999999999997
824,162.0,2.75
825,216.375,8.4125
826,176.125,3.5375000000000005
827,215.25,8.1625
828,227.375,2.5124999999999997
829,205.75,3.0375
830,225.5,3.1125000000000003
831,185.0,3.9749999999999996
832,183.625,1.85
833,240.25,5.575
834,250.5,4.15
835,218.75,1.7375
836,126.0,1.6625000000000003
837,133.625,1.175
838,144.0,1.4624999999999997
839,146.375,1.1625
840,146.25,1.0125
841,145.125,2.1999999999999997
842,141.875,2.675
843,123.75,2.6375
844,118.375,2.0124999999999997
845,110.875,5.9125
846,123.5,3.225
847,149.25,0.8999999999999999
848,151.5,3.05
849,154.25,3.475
850,155.0,4.0
851,148.75,1.8625000000000003
852,156.125,7.162499999999999
853,131.375,2.675
854,98.5,5.1125
855,162.125,6.175
856,151.875,3.5500000000000007
857,133.0,1.9125
858,165.375,4.662499999999999
859,160.25,1.275
860,166.5,2.8499999999999996
861,167.375,0.725
862,115.875,3.1125000000000003
863,170.375,0.9874999999999999
864,157.25,1.0
865,161.875,1.5375
866,155.25,2.6375
867,175.5,3.3374999999999995
868,178.125,5.0625
869,177.375,1.5
870,174.0,0.85
871,180.25,2.2625
872,116.625,3.4875
873,177.125,0.7875
874,161.125,3.0375000000000005
875,131.125,3.0875
876,193.0,2.0250000000000004
877,199.375,0.8750000000000001
878,172.125,2.5375
879,153.5,1.625
880,194.625,3.125
881,186.625,2.0
882,202.875,2.675
883,207.0,1.4500000000000002
884,203.375,1.3125000000000002
885,190.875,4.0125
886,141.25,3.1375
887,127.25,4.7375
888,180.875,3.2
889,207.875,2.175
890,227.375,7.625
891,231.375,2.2875
892,215.5,3.2249999999999996
893,216.5,6.425000000000001
894,235.375,2.7375
895,219.125,1.725
896,223.25,3.2749999999999995
897,206.0,3.9750000000000005
898,204.125,6.2
899,237.75,2.7125
900,230.25,3.0875
901,238.875,3.0875
902,223.0,3.9499999999999993
903,128.125,3.1625
904,173.25,5.574999999999999
905,152.0,5.1375
906,188.125,2.725
907,211.375,1.55
908,245.0,2.5125
909,268.5,1.5374999999999999
910,262.375,2.65
911,223.75,3.6875
912,262.5,4.999999999999999
913,270.625,2.8625
914,231.0,3.1500000000000004
915,259.625,2.6874999999999996
916,258.0,8.6
917,238.125,3.1875
918,288.25,8.0
919,288.375,5.675
920,285.875,4.5
921,283.625,2.1999999999999997
922,238.875,4.300000000000001
923,288.5,4.0625
924,298.875,3.7124999999999995
925,288.625,2.1624999999999996
926,194.875,2.1125000000000003
927,235.125,2.25
928,265.625,2.5875000000000004
929,301.125,2.7375
930,293.25,1.8625
931,223.0,4.9125000000000005
932,237.875,4.725
933,233.5,4.5
934,218.5,3.2
935,222.875,3.2625
936,274.125,6.1375
937,291.875,5.8125
938,247.625,2.125
939,255.375,4.2625
940,287.375,6.375
941,318.0,7.9624999999999995
942,290.375,3.2750000000000004
943,288.0,7.55
944,317.375,3.6500000000000004
945,288.75,4.7625
946,307.125,3.4875000000000003
947,323.375,2.225
948,280.375,3.775
949,190.5,5.275
950,140.5,4.7
951,300.125,3.175
952,322.625,1.5875000000000001
953,321.375,1.7125
954,301.25,4.5
955,331.5,3.7624999999999997
956,194.625,6.0874999999999995
957,326.5,8.174999999999999
958,344.375,4.5125
959,223.625,5.1375
960,318.625,4.4
961,301.625,4.387499999999999
962,319.25,2.375
963,308.25,2.575
964,224.75,2.525
965,297.625,2.8499999999999996
966,338.5,1.7000000000000002
967,200.25,3.6875
968,310.625,5.7875000000000005
969,317.125,3.1499999999999995
970,331.0,3.0875000000000004
971,342.25,3.075
972,349.125,3.7874999999999996
973,339.75,3.5625
974,294.0,5.65
975,218.875,3.7375
976,328.25,3.05
977,315.75,5.112500000000001
978,211.625,2.7
979,316.875,1.55
980,339.875,2.3625
981,347.875,2.7375
982,173.5,3.0625
983,278.125,4.65
984,310.0,3.8999999999999995
985,96.5,2.2375000000000003
986,187.25,2.75
987,124.125,3.8124999999999996
988,106.25,1.8499999999999999
989,164.375,4.0625
990,289.375,9.962500000000002
991,345.875,3.2500000000000004
992,336.625,1.8125
993,289.625,4.3
994,289.5,5.562499999999999
995,303.375,2.625
996,322.125,3.7
997,248.125,4.3875
998,123.5,2.725
999,152.875,1.55
1000,314.5,2.9625
1001,345.375,3.4000000000000004
1002,120.625,2.825
1003,286.25,3.4124999999999996
1004,133.375,2.1125
1005,294.0,1.6624999999999996
1006,321.875,2.425
1007,338.75,4.25
1008,316.625,4.4624999999999995
1009,218.25,4.862500000000001
1010,312.75,3.325
1011,312.25,2.4375
1012,315.125,2.9749999999999996
1013,301.75,2.7375
1014,334.125,3.1125
1015,346.25,3.4124999999999996
1016,354.0,4.750000000000001
1017,131.625,3.7249999999999996
1018,294.75,2.8375
1019,256.625,4.4750000000000005
1020,310.25,4.362500000000001
1021,326.0,3.7375000000000003
1022,273.375,4.112500000000001
1023,125.5,3.725
1024,356.375,2.75
1025,337.25,2.825
1026,329.25,1.4374999999999998
1027,358.375,3.0999999999999996
1028,321.875,3.6875
1029,323.625,4.112500000000001
1030,319.0,4.5625
1031,331.5,4.949999999999999
1032,346.625,3.875
1033,335.25,4.2625
1034,336.125,5.137499999999999
1035,307.875,7.625
1036,328.875,7.4
1037,305.75,7.05
1038,289.25,6.637499999999999
1039,286.625,5.1625000000000005
1040,282.5,3.6999999999999993
1041,264.875,3.3875
1042,149.125,2.875
1043,260.375,1.9000000000000001
1044,299.375,2.3249999999999997
1045,307.375,2.7124999999999995
1046,280.375,5.5375000000000005
1047,158.875,5.1000000000000005
1048,325.25,1.475
1049,315.625,4.15
1050,316.0,3.475
1051,300.375,4.9625
1052,157.375,4.5375
1053,178.5,2.9
1054,301.125,2.8375
1055,302.25,3.0625
1056,292.75,3.8875
1057,163.875,3.8249999999999997
1058,288.375,2.3375
1059,318.25,4.012499999999999
1060,279.375,4.375
1061,277.625,3.9875
1062,271.5,5.2875000000000005
1063,226.625,4.6
1064,184.5,4.5625
1065,211.0,3.8374999999999995
1066,76.125,3.6125
1067,222.625,2.45
1068,99.0,3.55
1069,109.75,2.6125000000000003
1070,162.375,4.275
1071,108.625,4.8625
1072,123.25,1.65
1073,69.0,3.8000000000000003
1074,68.375,4.4375
1075,168.375,1.775
1076,225.0,2.45
1077,256.25,3.7875
1078,133.375,4.3875
1079,121.375,3.075
1080,161.125,2.6875
1081,109.875,2.5875
1082,265.75,2.3375
1083,289.25,1.8750000000000002
1084,117.125,2.3875
1085,206.625,3.15
1086,161.375,4.874999999999999
1087,285.875,2.2750000000000004
1088,282.125,1.7875
1089,264.5,4.375
1090,244.375,3.125
1091,113.125,2.425
1092,217.0,2.0999999999999996
1093,152.5,2.6875
1094,213.875,2.2875
1095,162.5,4.475
1096,105.0,2.5875000000000004
1097,215.5,1.125
1098,247.125,2.3375
1099,227.125,2.8000000000000003
1100,218.875,2.7125
1101,86.125,2.4374999999999996
1102,189.125,2.4375
1103,107.375,4.0625
1104,192.5,2.7874999999999996
1105,237.25,2.3
1106,210.75,4.6125
1107,209.875,3.175
1108,242.125,3.8125
1109,189.875,5.025
1110,92.5,1.8
1111,230.875,1.875
1112,235.125,2.05
1113,219.625,2.8125
1114,206.0,3.5999999999999996
1115,169.0,5.35
1116,94.125,1.8250000000000002
1117,224.0,2.7125000000000004
1118,187.5,1.925
1119,225.125,2.8749999999999996
1120,191.75,2.7375
1121,135.125,2.175
1122,79.375,2.5749999999999997
1123,60.125,4.125
1124,206.75,4.225
1125,183.0,1.8625
1126,210.875,1.6375000000000002
1127,175.0,1.9125
1128,167.625,3.3375
1129,175.625,1.7125000000000001
1130,189.5,2.2125
1131,80.625,3.2125
1132,187.125,8.862499999999999
1133,196.125,2.6000000000000005
1134,193.125,2.1875
1135,190.875,1.8875000000000002
1136,167.125,1.3875
1137,165.25,2.4125
1138,170.0,4.65
1139,184.625,4.6625
1140,178.875,4.625
1141,180.0,1.8749999999999998
1142,180.5,2.125
1143,178.625,1.2875
1144,143.5,5.95
1145,174.375,3.0125
1146,172.375,1.05
1147,157.25,2.85
1148,162.75,2.275
1149,165.75,3.5125
1150,168.125,8.1875
1151,169.125,5.1625
1152,167.125,3.475
1153,128.375,0.925
1154,156.125,0.975
1155,150.125,3.3875
1156,152.0,2.0125
1157,150.875,4.675
