序号,A,B,C,D,E,STATE
63,70.84,148.56,238.38,35.24,0,过热
64,72,442,221,461,0.7,过热
65,72.22,159.01,235.33,32.93,0,过热
66,73.38,157.49,244.65,35.68,0,过热
67,74.5,188.4,284,79.3,2.2,过热
68,76,12.6,6.34,6.1,8.9,放电
69,76,114,170,276,15,过热
70,77,116,176,268,13.8,过热
71,78,20,11,13,28,放电
72,78,20,28,11,13,放电
73,78,70.1,294.8,636.8,12.3,过热
74,80,10,4,1.5,0,正常
75,80,20,6,20,62,放电
76,82,81,33,224,5.4,过热
77,83.65,7.95,4.54,2.72,0.56,放电
78,86.95,6.47,5.27,1.03,0.02,放电
79,87,87,26,218,7.3,过热
80,88,83,28,196,7.7,过热
81,88,140,50,230,1.3,过热
82,89,120,19,5,6.7,放电兼过热
83,91,56,43,36,6,过热
84,93.01,28.96,26.76,102.87,144.87,放电
85,98,36,5,21,116,放电
86,98,58,43,37,0,放电
87,102,19,8,24,86.3,放电
88,102,108,70,41,0,放电
89,102.14,9.35,9.32,13.46,0.05,正常
90,106,24,4,28,37,放电
91,120,109,435,80,0,放电
92,121,69,32,268,8,过热
93,126.31,53,101.32,101.32,359,放电
94,128,40,3.6,30,134,放电
95,128,419,269.4,614.1,0.35,过热
96,130,270,67,500,3,过热
97,131.8,325.8,12.3,160.26,61.42,放电
98,131.87,162.1,29.08,314.7,22.45,过热
99,132.9,20.38,8.09,0.63,0.16,正常
100,133,466,70,502,9,过热
101,140,240,81,440,1.5,过热
102,143,305,721,78,2,过热
103,144,755,248,500,1,过热
104,147,766,506,2078,3.1,过热
105,151.5,228,93.9,282,0.35,过热
106,154.3,32.5,24.9,42.4,68.8,放电
107,155,51,19,47,154,放电
108,156,36,26,69,2,过热
109,159.8,438.7,3112.4,644.6,0.38,过热
110,160,90,27,17,5,放电
111,162,109,11.1,201,183,放电
112,163,20,7,30,20,放电
113,164,27.8,6.2,11.8,0.2,过热
114,166.6,28.31,6.72,12.4,0.3,过热
115,170,24,7,17,54,放电
116,170.53,66.76,183.27,186.32,145,放电
117,176,205.9,47.7,75.7,68.7,放电
118,178,236,17,242,33.2,过热
119,180.2,175,75.6,49.9,4.1,过热
120,180.85,0.574,0.234,0.188,0,放电
121,181,262,28,41,0,过热
122,188,236,18.1,237,31.8,过热
123,190.4,937.8,106.2,135.4,83.2,放电兼过热
124,194.8,917.7,565.89,1460.9,0,过热
125,195.7,58,16.4,91.6,96.9,放电
126,195.8,14.5,11.6,2.4,0.7,放电
127,195.9,14.5,11.6,2.4,0,放电
128,198,47,27,92,130,放电
129,198.8,46.6,13.8,117,129.8,放电
130,200,700,250,740,1,过热
131,206,198.9,74,612.7,15.1,过热
132,207.06,21.08,4.28,67.34,141.93,放电
133,210,540,250,900,2.2,过热
134,213,41,12.1,20,67,放电
135,214,15,2,3.8,4.7,放电
136,215.6,255.1,160.2,350.4,0,过热
137,217.5,40,4.9,51.8,67.5,放电
138,220,294,514,166,2.15,过热
139,230,572.4,343,768.9,0.51,过热
140,231.4,357.6,138.9,467.1,0.45,过热
141,239.1,32.2,29.9,6.9,97.75,放电
142,242,76,44.4,173,0,过热
143,245,78,46.5,178,0,过热
144,247,137.9,176.6,60.4,153.8,放电
145,248,55,1,203,840,放电
146,254,370,535,263,805,过热
147,256,48,8.5,34,30,放电
148,259,863,393,994,6,过热
149,260,8,2.5,2,0,放电
150,260,530,240,920,1.7,过热
151,279,487,109,708,4.4,过热
152,292,325,598,136,3.78,过热
153,330,28.21,2.54,25.98,203.8,放电
154,335,67,18,143,170,放电
155,335,95,11,98,203,放电
156,336,419,105,1074,2.1,过热
157,361,29.56,2.74,25.69,197.01,放电
158,380,22,2.5,17,208,放电
159,380,520,300,1300,3.8,过热
160,410,32.99,2.59,24.79,191.15,放电
161,436,70,23.1,51.36,57.96,放电
162,443,85,9.5,103,174,放电
163,480,1100,480,1700,0.1,过热
164,549,121.3,25.5,31.9,198.05,放电
165,559,8.2,0.9,1.7,0,放电
166,560,0,0.6,0.7,0,放电
167,565,99,37,28,0,放电
168,568,26.5,6.9,2.1,0,放电
169,569,23,1,0.5,0,放电
170,582,53,34,47,0,过热
171,591,3.8,0.4,0.3,0,放电
172,605,1167,2360,354,15.1,过热
173,639,19,2.5,0.2,0,放电
174,673.6,423.5,77.5,988.9,344.4,放电
175,679,4992,1873,3671,0,过热
176,791,309,173,560,12,过热
177,830,210,33,450,610,放电
178,842,51,2.5,0.9,0,放电
179,973,3411,1436,1639,0,过热
180,991,91,106,8,389,放电
181,1018.62,253.7,38.05,489.29,1035.73,放电
182,1032,278,36,557,1389,放电
183,1040,225,41,489,652,放电
184,1202,89,44.8,3.35,0,放电
185,1230,420,8.5,1050,1430,放电
186,1256,80,62,38,0,放电
187,1270,3450,520,1390,8,过热
188,1274,39,5.3,0.7,0,放电
189,1300,110,137,52,22.2,放电
190,1300,125,112,6,0,放电
191,1309,124,113,6,0,放电
192,1330,10,20,66,182,放电
193,1346,34,3.3,0.1,0,放电
194,1412,43,6,0.7,0,放电
195,1498,92,45.9,3.38,0,放电
196,1563,93,34,47,0,放电
197,1564,92,33,45,0,放电
198,1565,93,34,47,0,放电
199,1570,1110,175,1780,1830,放电
200,1651,90,33,45,2,放电
201,1894,60,8,1.1,0,放电
202,1913,7.6,0.9,0.6,0,放电
203,2073,85.6,17.4,2.6,0,放电
204,2083,85.6,18.4,2.6,0,放电
205,3420,7870,1500,6990,33,过热
206,3433,180,34.4,3.6,0.4,放电
207,9340,995,60,6,7,放电
208,7.5,5.7,3.4,2.6,3.2,正常
209,115.9,75,14.7,25.3,6.8,放电
210,50,90,260,18,5.9,过热
211,56,61,75,32,31,放电
212,200,48,14,117,131,放电
213,160,130,33,96,0,过热
214,73,520,140,1230,7,过热
215,240,28,26,6,85,放电
216,57,77,58,21,0,过热
217,560,0,0.7,0.6,0,放电
218,980,73,12,58,0,放电
219,173,334,813,172,37,过热
220,127,107,154,11,224,放电
221,220,340,480,42,14,过热
222,14.7,4.6,10.5,2.8,0,正常
223,10.2,6.3,2.9,2.1,3.1,正常
224,11,11,1.6,2.8,0,正常
225,12,12.5,3.4,13.2,0.5,正常
226,12.1,4.4,4.1,40,3.5,正常
227,31,23,10.6,7.1,0.4,正常
228,34.4,2.97,33.2,27.72,2.5,正常
229,56.6,8.9,4.6,4.8,7.3,放电
230,60,38,10,73,18,放电
231,60,40,6.9,110,70,放电
232,163.79,55.44,8,63.24,112.13,放电
233,54.7,81.3,34.4,166,2.8,过热
234,55,285,95,925,7.3,过热
235,70.2,69.5,241.2,28.9,10.87,过热
236,75,100,17,81,6.3,过热
237,80.5,153.54,42.61,276,19.37,过热
238,86,110,18,92,7.4,过热
239,3.11,11.59,4.02,11.44,0.77,过热
240,478.34,224.87,38.17,443.97,446.42,放电
241,18.93,1.92,640.76,0,807.37,放电
242,14.74,13.52,18.19,3.45,0.51,放电
243,114.96,36.32,3.84,18.84,28.25,放电
244,13,14.8,1.3,5.8,0,放电
245,52023,1605.6,17.49,542.72,1537.61,放电
246,125.65,165.96,51.73,168.75,0.86,过热
247,559156,6903,89,5321,7289,放电
248,450,7.1,2,1.7,0.68,放电
249,94.2,13.18,2.4,2.42,0.38,过热
250,3.36,8.41,1.87,0.42,0,放电
251,16.3,1.11,0.2,0.34,0,过热
252,16,2,0.59,0.68,0,过热
253,59,27.25,12.97,60.5,67,放电
254,79.83,4.18,1.9,0.41,0,过热
255,19.469,9.914,10.122,5.473,8.961,放电
256,93,55.6,85.3,9.9,131.2,放电
257,111.56,34.56,7.26,6.25,0,过热
258,15.42,9.12,1.3,4.3,0,放电
259,18,14.4,1.8,10.8,16.2,放电
260,1246.27,333.91,4.79,165.25,447.1,放电
261,7.2,3.3,0.94,2.7,1.6,放电
262,7.3,12.3,2.7,1.3,0,放电
263,43,19.73,4.07,15.77,24.8,放电
264,0,1,0,0,0,放电
265,214.19,71.35,7.05,92.85,189.11,放电
266,15.68,8.53,0.98,6.94,10.5,放电
267,59.75,49.25,11.2,57.57,36.56,放电
268,446.39,144.72,15.36,219.78,887.55,放电
269,887,268.4,17.1,209.9,379.9,放电
270,30.8,4.512,0,1.056,0.9,放电
271,1384,379.5,24.1,262,398.7,放电
272,15.3,11,3.3,21.8,4.5,放电
273,0,13.23,1.83,11.52,44.38,放电
274,11.79,34.12,9.98,3.62,1.95,放电
275,109.72,399.81,409.31,2943.37,141.95,放电
276,23,5.8,1,3.1,3.62,放电
