CONS_NO,START_DATE,END_DATE,TOTAL_START_KWH,TOTAL_END_KWH,SUM_KWH
1055109393,20150101,20151231,584.92,1587.54,1002.62
1056065357,20150101,20151231,4182.1,6549.76,2367.66
10581700,20150101,20151231,1547.47,1954.67,407.2
1060203016,20150101,20151231,507.58,1983.74,1476.16
1060764383,20150101,20151231,3345.48,5025.37,1679.89
10607903,20150101,20151231,5321.65,9149.44,3827.79
1061203016,20150101,20151231,1803.84,2973.87,1170.03
1061389057,20150101,20151231,2973.22,4017.14,1043.92
1064968250,20150101,20151231,4409.8,6656.36,2246.56
1065096020,20150101,20151231,1663.84,3118.43,1454.59
106810457,20150101,20151231,682.21,776.76,94.55
1068589100,20150101,20151230,7352.36,9553.37,2201.01
1069130457,20150101,20151231,3865.59,4884.99,1019.4
1070100023,20150101,20151231,21.26,77.12,55.86
1070203016,20150217,20151231,0.0,0.0,0.0
107069541,20150101,20151231,904.48,3376.3,2471.82
1071203016,20150101,20151231,1887.16,3101.72,1214.56
1072100051,20150101,20151231,2.95,30.1,27.15
1073764383,20150101,20151231,1181.64,3590.62,2408.98
1074022657,20150101,20151231,321.69,1746.1,1424.41
1074430160,20150101,20151231,208.93,248.54,39.61
1075096020,20150101,20151231,3841.77,7130.82,3289.05
1076840055,20150101,20151231,990.06,2804.49,1814.43
1078004100,20150101,20151231,6270.07,7159.14,889.07
1078109393,20150101,20151231,24783.49,35481.56,10698.07
1078589100,20150101,20151231,8540.05,12191.24,3651.19
1080020324,20150101,20151231,0.0,0.0,0.0
1080924383,20150101,20151231,2551.76,3158.66,606.9
1081020324,20150101,20151231,816.14,2343.0,1526.86
1084001270,20150101,20151231,16806.9,35012.57,18205.67
1084011370,20150101,20151231,6098.58,10001.15,3902.57
10840170,20150101,20151231,4708.96,5491.9,782.94
1084968250,20150101,20151231,10287.47,13789.84,3502.37
1085109393,20150101,20151231,2121.05,5457.4,3336.35
1085110033,20150101,20151231,815.09,1608.49,793.4
108540250,20150101,20151231,296.9,4826.74,4529.84
1086220076,20150101,20151231,2921.34,6414.26,3492.92
1086788057,20150101,20151231,7417.4,10814.24,3396.84
1088589100,20150101,20151231,12645.19,17702.17,5056.98
1090809393,20150101,20151231,7960.72,26548.22,18587.5
1091764383,20150101,20151231,12658.85,15313.67,2654.82
110110033,20150101,20151231,5317.97,7724.9,2406.93
11020324,20150101,20151231,430.56,4286.9,3856.34
110581700,20150101,20151231,0.0,0.01,0.01
110910570,20150216,20151231,0.91,1325.62,1324.71
114314033,20150101,20151231,3438.99,6363.23,2924.24
114968250,20150101,20151231,3813.69,4442.8,629.11
115102210,20150101,20151231,638.12,2599.44,1961.32
115103116,20150101,20151231,7757.31,10617.93,2860.62
116110033,20150101,20151231,6181.13,8753.07,2571.94
11903141,20150101,20151231,2209.39,10240.09,8030.7
120100023,20150101,20151231,1039.62,5227.33,4187.71
120581700,20150101,20151231,752.09,1453.52,701.43
120840170,20150101,20151231,631.28,1905.43,1274.15
121031635,20150101,20151231,6868.17,11413.25,4545.08
121058330,20150101,20151231,3945.67,7003.74,3058.07
124058330,20150101,20151231,2267.59,3265.54,997.95
124280051,20150522,20151231,1129.39,1588.44,459.05
124314033,20150101,20151231,2353.89,4729.67,2375.78
12440062,20150101,20151231,5419.72,8900.09,3480.37
125103116,20150101,20151231,1016.08,1783.6,767.52
126047535,20150101,20151231,5790.43,8643.44,2853.01
127909057,20150101,20151231,9.93,247.72,237.79
12809057,20150101,20151231,6070.38,8923.79,2853.41
128589100,20150101,20151231,5113.46,7308.35,2194.89
1299400,20150101,20151231,13164.68,17006.16,3841.48
130398057,20150101,20151231,9476.95,14234.18,4757.23
130581700,20150101,20151231,4783.77,7886.88,3103.11
130910570,20150101,20151231,678.4,6037.26,5358.86
131020324,20150101,20151231,415.81,1114.28,698.47
1312070,20150101,20151231,6927.09,9825.3,2898.21
131903141,20150101,20151231,166.7,530.27,363.57
135810457,20150101,20151231,2159.41,4481.43,2322.02
137860250,20150101,20151231,7455.13,11276.11,3820.98
138004100,20150101,20151231,2906.73,3841.91,935.18
138589100,20150101,20151231,10814.95,14663.52,3848.57
139004100,20150101,20151231,6534.77,10235.87,3701.1
141020324,20150101,20151231,0.0,0.0,0.0
141058330,20150101,20151231,3035.77,5557.19,2521.42
141903141,20150101,20151231,1548.72,6233.54,4684.82
141924383,20150101,20151231,4682.67,6267.55,1584.88
142820055,20150210,20151231,66.43,4694.91,4628.48
14314033,20150101,20151231,0.02,1.86,1.84
145430160,20150101,20151231,2524.61,3039.64,515.03
146009393,20150101,20151231,8815.13,12710.7,3895.57
147535,20150101,20151231,1292.11,1937.12,645.01
148703157,20150101,20151231,883.61,1405.26,521.65
149004100,20150101,20151231,7254.93,11964.05,4709.12
14968250,20150101,20151231,1.57,1.64,0.07
150058330,20150101,20151231,441.65,151.32,-290.33
15103116,20150101,20151231,30.5,30.54,0.04
151100023,20150101,20151231,13.4,240.46,227.06
151903141,20150101,20151231,1408.44,3630.81,2222.37
151924383,20150101,20151231,2410.72,2983.97,573.25
152100051,20150101,20151231,214.48,436.87,222.39
153212470,20150101,20151231,6645.95,8360.07,1714.12
155831157,20150101,20151231,714.54,1148.33,433.79
159030735,20150101,20151231,1937.88,3734.02,1796.14
160100023,20150101,20151231,439.93,2270.5,1830.57
163212470,20150101,20151231,983.45,1362.25,378.8
163336035,20150101,20151231,5019.29,18860.31,13841.02
163833635,20150101,20151231,5.3,38.91,33.61
165096020,20150101,20151231,3358.76,4478.3,1119.54
168589100,20150101,20151231,12606.04,17697.25,5091.21
168976557,20150101,20151231,28.77,28.77,0.0
170924383,20150124,20151231,854.88,1018.56,163.68
171511370,20150101,20151231,11333.46,16630.57,5297.11
172100051,20150101,20151231,2642.17,5433.34,2791.17
173036635,20150101,20151231,7061.11,11573.9,4512.79
175058330,20150101,20151231,77.3,102.99,25.69
176069541,20150101,20151231,2738.96,10435.1,7696.14
178589100,20150101,20151231,13973.9,19628.74,5654.84
178794457,20150416,20151231,7.28,1006.34,999.06
180299400,20150101,20151231,3189.2,5747.89,2558.69
180924383,20150101,20151231,1029.57,1150.27,120.7
181020324,20150101,20151231,690.6,1248.29,557.69
181100023,20150101,20151231,422.1,2372.19,1950.09
181510457,20150101,20151231,0.0,0.02,0.02
182100023,20150101,20151231,402.17,2333.31,1931.14
184430160,20150101,20151231,0.0,19.22,19.22
184968250,20150101,20151231,4020.54,5288.77,1268.23
185109393,20150101,20151231,1428.0,2834.1,1406.1
191020324,20150101,20151231,0.0,0.0,0.0
196069541,20150101,20151231,249.97,796.1,546.13
197209951,20150525,20151231,4776.52,6772.78,1996.26
198004100,20150101,20151231,2918.85,3815.87,897.02
198908250,20150429,20151231,52.27,4718.76,4666.49
199948250,20150514,20151231,27.29,5908.6,5881.31
200110033,20150101,20151231,7466.91,9703.9,2236.99
200147535,20150101,20151231,7015.2,10479.76,3464.56
200240170,20150101,20151231,8243.7,10555.46,2311.76
200840170,20150101,20151231,1748.23,2410.08,661.85
201020324,20150101,20151231,320.88,974.57,653.69
201299400,20150101,20151231,10053.72,13186.78,3133.06
201319057,20150101,20151231,5461.79,6883.43,1421.64
2014383,20150101,20151231,5597.39,7595.77,1998.38
202020324,20150101,20151231,111.3,132.74,21.44
2020324,20150101,20151231,100.49,287.0,186.51
202212470,20150101,20151231,5496.85,7659.85,2163.0
202778257,20150101,20151231,485.45,485.45,0.0
204030635,20150101,20151231,10144.57,17173.95,7029.38
205319535,20150101,20151231,1905.1,3290.65,1385.55
205810457,20150101,20151231,2348.21,5526.31,3178.1
20581700,20150101,20151231,9272.0,14105.24,4833.24
21020324,20150101,20151231,571.97,1722.12,1150.15
210581700,20150101,20151231,773.81,1097.32,323.51
211903141,20150103,20151231,535.96,2417.27,1881.31
212020324,20150428,20151231,0.0,0.0,0.0
213102210,20150101,20151231,4026.79,4579.04,552.25
215103116,20150101,20151231,0.47,0.49,0.02
215319535,20150101,20151231,13988.65,23190.7,9202.05
215430160,20150101,20151231,6341.94,8768.35,2426.41
217989541,20150216,20151231,0.0,0.0,0.0
219009393,20150101,20151231,4155.1,5447.94,1292.84
21903141,20150101,20151231,0.0,0.0,0.0
219709393,20150101,20151231,309.5,997.67,688.17
220036635,20150101,20151231,61772.8,122321.24,60548.44
22020324,20150101,20151231,191.37,515.37,324.0
22058330,20150101,20151231,5565.22,8898.34,3333.12
221460757,20150101,20151231,2084.34,5162.35,3078.01
221903141,20150101,20151231,511.36,1881.7,1370.34
224280051,20150522,20151231,0.0,0.0,0.0
225103116,20150101,20151231,801.13,1095.18,294.05
225399535,20150101,20151231,675.16,1163.04,487.88
227086557,20150101,20151231,48.04,154.52,106.48
228047535,20150101,20151231,7294.2,10753.09,3458.89
228589100,20150101,20151231,6149.7,8525.56,2375.86
229304457,20150101,20151231,11817.25,15849.44,4032.19
230100023,20150101,20151231,570.22,2599.36,2029.14
230110033,20150101,20151231,4261.11,5972.01,1710.9
230581700,20150101,20151231,2001.59,6965.22,4963.63
230614033,20150101,20151231,3517.91,5309.78,1791.87
230910570,20150101,20151231,528.74,3120.3,2591.56
231131635,20150101,20151231,14254.83,24369.47,10114.64
231322470,20150101,20151231,9.7,1647.49,1637.79
232020324,20150101,20151231,111.32,3817.42,3706.1
232440062,20150101,20151231,1634.09,1775.8,141.71
239758657,20150101,20151231,1436.39,3414.18,1977.79
240203016,20150101,20151231,75.07,260.07,185.0
241020324,20150101,20151231,10.81,56.2,45.39
241924383,20150101,20151231,8590.75,11401.19,2810.44
242058330,20150101,20151231,2361.88,453.39,-1908.49
242440062,20150101,20151231,0.0,0.0,0.0
242583257,20150101,20151231,1098.0,2937.12,1839.12
242733635,20150101,20151231,4062.87,10273.82,6210.95
24280051,20150523,20151231,250.38,252.45,2.07
243134635,20150101,20151231,4416.79,7788.56,3371.77
244010055,20150101,20151231,7440.29,10671.37,3231.08
247058057,20150101,20151231,0.0,0.0,0.0
247622357,20150410,20151231,0.0,0.0,0.0
247940055,20150101,20151231,18273.68,23539.62,5265.94
24809393,20150101,20151231,6.41,16.22,9.81
250058330,20150101,20151231,820.1,1395.02,574.92
251510457,20150101,20151231,1.68,1.7,0.02
251924383,20150101,20151231,5549.18,7423.28,1874.1
252009393,20150101,20151231,4948.58,6664.91,1716.33
252440062,20150101,20151231,3490.14,5185.72,1695.58
253212470,20150101,20151231,6527.19,9071.1,2543.91
25399535,20150101,20151231,1118.95,2120.51,1001.56
25430160,20150101,20151231,65.6,2659.69,2594.09
254968250,20150101,20151231,0.0,0.0,0.0
256110033,20150101,20151231,7502.64,8500.56,997.92
258004100,20150101,20151231,19825.73,24679.72,4853.99
259009393,20150101,20151231,10162.89,13982.14,3819.25
260203016,20150101,20151231,836.31,2739.38,1903.07
262232635,20150101,20151231,5645.4,11111.34,5465.94
263212470,20150101,20151230,757.28,764.71,7.43
263609657,20150101,20151230,939.63,3333.62,2393.99
263770557,20150101,20151231,45676.41,73404.07,27727.66
264968250,20150101,20151231,0.0,0.0,0.0
270299400,20150101,20151231,7564.77,10532.27,2967.5
270924383,20150124,20151231,1374.14,2208.47,834.33
271085334,20150101,20151231,0.0,1428.41,1428.41
271100023,20150101,20151231,1530.96,6978.68,5447.72
271203016,20150101,20151231,5395.08,7875.51,2480.43
272100051,20150101,20151231,261.81,3497.15,3235.34
273037735,20150104,20151231,6426.85,16056.07,9629.22
274210060,20150101,20151231,11347.62,14536.96,3189.34
274430160,20150101,20151231,2879.6,3749.7,870.1
275031635,20150101,20151231,18994.93,37364.09,18369.16
275058330,20150101,20151231,4016.21,6434.84,2418.63
275096020,20150101,20151231,4409.33,6915.3,2505.97
276810457,20150101,20151231,1181.52,2984.74,1803.22
280014383,20150101,20151231,5830.83,8896.6,3065.77
280221757,20150101,20151231,79.36,376.62,297.26
280299400,20150101,20151231,10362.51,13398.67,3036.16
280924383,20150101,20151231,4137.01,5817.23,1680.22
280933635,20150101,20151231,1793.31,3868.4,2075.09
281020324,20150101,20151231,1565.48,3869.27,2303.79
284430160,20150101,20151231,1740.7,2124.93,384.23
289910065,20150217,20151231,5.55,4847.39,4841.84
290525157,20150101,20151231,254.56,392.5,137.94
291020324,20150116,20151231,10.09,2329.93,2319.84
292119057,20150101,20151231,5999.21,9162.59,3163.38
292928250,20150101,20151231,2242.69,57042.66,54799.97
294001270,20150101,20151231,15320.48,25962.14,10641.66
298263457,20150101,20151231,1681.59,5746.75,4065.16
299019057,20150101,20151231,8741.13,11296.4,2555.27
299047535,20150101,20151231,1265.75,1934.52,668.77
300112070,20150101,20151231,7307.7,12624.99,5317.29
300840170,20150101,20151231,11282.64,14890.51,3607.87
300910570,20150215,20151231,52.53,3110.26,3057.73
30100023,20150101,20151231,492.9,2016.24,1523.34
301020324,20150101,20151231,683.98,1998.44,1314.46
301299400,20150101,20151231,10082.1,12516.08,2433.98
301312070,20150101,20151231,4747.35,7968.62,3221.27
301440141,20150101,20151231,304.98,304.98,0.0
301903141,20150101,20151231,126.51,395.29,268.78
302212470,20150101,20151231,550.53,1115.35,564.82
302399535,20150101,20151231,10123.45,13984.32,3860.87
304314033,20150101,20151231,200.36,466.31,265.95
305430160,20150101,20151231,5402.75,7361.23,1958.48
30581700,20150101,20151231,4282.83,6609.84,2327.01
30910570,20150215,20151231,33.69,2726.58,2692.89
3100023,20150101,20151231,265.5,762.11,496.61
312440062,20150101,20151231,7445.34,11751.69,4306.35
31299400,20150101,20151231,729.09,1000.42,271.33
31398057,20150101,20151231,3978.83,4471.43,492.6
314280051,20150522,20151231,7.43,7.43,0.0
314314033,20150101,20151231,2079.33,3968.84,1889.51
315430160,20150101,20151231,1303.8,1761.22,457.42
318004100,20150101,20151231,3211.58,5576.7,2365.12
319009393,20150101,20151231,10315.84,13405.56,3089.72
32020324,20150317,20151231,0.0,0.0,0.0
320581700,20150101,20151231,0.0,0.0,0.0
321510457,20150101,20151231,0.0,0.0,0.0
321903141,20150101,20151231,4.02,62.44,58.42
322440062,20150101,20151231,1299.94,1928.21,628.27
323111170,20150101,20151231,15591.64,23383.09,7791.45
324314033,20150101,20151231,15283.21,28105.96,12822.75
325103116,20150101,20151231,8130.83,11866.08,3735.25
325435635,20150101,20151231,4543.5,7648.33,3104.83
327110033,20150101,20151231,104.37,456.58,352.21
328589100,20150101,20151231,5569.32,8350.84,2781.52
328948250,20150101,20151231,8598.92,11359.07,2760.15
329154257,20150101,20151231,0.0,0.0,0.0
330910570,20150101,20151231,289.98,3166.73,2876.75
331903141,20150101,20151231,760.45,2670.98,1910.53
332910022,20150101,20151231,312.97,955.96,642.99
334764383,20150101,20151231,570.84,3025.78,2454.94
335103116,20150101,20151231,745.42,755.8,10.38
33630435,20150101,20151231,52622.46,94478.37,41855.91
337109393,20150101,20151231,3108.65,7591.0,4482.35
338004100,20150101,20151231,3408.03,5057.72,1649.69
338589100,20150101,20151231,6694.0,9141.89,2447.89
342440062,20150101,20151231,6064.97,11673.06,5608.09
346110033,20150101,20151231,5202.64,7923.66,2721.02
347489157,20150101,20151231,6156.33,9296.56,3140.23
348589100,20150101,20151231,8352.23,11776.59,3424.36
35006541,20150101,20151231,30.19,163.36,133.17
351199541,20150101,20151231,0.0,1337.27,1337.27
351924383,20150101,20151231,7442.95,10080.66,2637.71
352100051,20150101,20151231,1871.03,5407.79,3536.76
352924383,20150101,20151231,1530.51,1622.63,92.12
353003052,20150101,20151231,769.88,3597.48,2827.6
354968250,20150101,20151231,11189.1,14906.05,3716.95
356110033,20150101,20151231,3769.71,5005.85,1236.14
356310085,20150101,20151231,7390.33,11913.47,4523.14
35702160,20150101,20151231,2805.36,3855.28,1049.92
358720055,20150101,20151231,1521.74,6401.69,4879.95
361203016,20150101,20151231,2883.42,4386.51,1503.09
361809393,20150101,20151231,9689.69,11188.95,1499.26
361834635,20150101,20151231,820.37,4182.02,3361.65
3631935,20150101,20151231,2692.24,3630.56,938.32
365096020,20150101,20151231,886.2,1105.83,219.63
36810457,20150101,20151231,2341.69,3557.83,1216.14
368589100,20150101,20151231,11205.08,14669.44,3464.36
370009393,20150101,20151231,0.0,0.0,0.0
37010033,20150410,20151231,5362.55,264.59,-5097.96
371035735,20150101,20151231,3792.08,6833.19,3041.11
371203016,20150101,20151231,0.48,0.48,0.0
372100023,20150101,20151231,645.07,3090.3,2445.23
372100051,20150101,20151231,2238.35,5591.04,3352.69
375096020,20150101,20151231,644.83,1200.58,555.75
375289657,20150121,20151231,4814.73,10725.03,5910.3
375711370,20150101,20151231,4635.43,17944.65,13309.22
376001270,20150101,20151231,1744.42,3319.81,1575.39
378030735,20150101,20151231,3261.96,5477.65,2215.69
378589100,20150101,20151231,7116.17,10092.7,2976.53
383280051,20150522,20151231,458.88,460.34,1.46
384109393,20150101,20151231,2497.24,6736.12,4238.88
384430160,20150101,20151231,1724.34,2059.64,335.3
386989541,20150101,20151231,1890.41,6609.86,4719.45
389014383,20150101,20151231,3100.2,7637.25,4537.05
391020324,20150101,20151231,182.35,543.96,361.61
392599357,20150101,20151231,8538.68,11568.83,3030.15
393280051,20150522,20151231,2786.39,3924.87,1138.48
393400751,20150523,20151231,0.0,10175.65,10175.65
394430160,20150101,20151231,2575.84,3131.42,555.58
397086557,20150101,20151231,116.56,162.55,45.99
399047535,20150101,20151231,7192.45,10521.5,3329.05
400009393,20150101,20151231,1055.84,5205.37,4149.53
400014383,20150101,20151231,610.4,2249.49,1639.09
400437735,20150101,20151231,8054.58,10401.06,2346.48
401020324,20150101,20151231,992.01,2506.14,1514.13
401032635,20150101,20151231,43409.6,88215.94,44806.34
401299400,20150101,20151231,6584.15,8736.53,2152.38
40203016,20150101,20151231,3.96,2285.53,2281.57
402212470,20150101,20151231,1006.95,1966.29,959.34
402399535,20150101,20151231,5329.98,7452.02,2122.04
404280051,20150522,20151231,5493.59,7796.14,2302.55
404314033,20150101,20151231,5818.9,11393.58,5574.68
405020381,20150101,20151231,1919.99,2911.07,991.08
405109393,20150101,20151231,3744.45,5079.11,1334.66
405510065,20150207,20151231,25.71,18447.9,18422.19
410010052,20150101,20151231,365.86,1923.22,1557.36
410581700,20150101,20151231,741.71,1093.93,352.22
41058330,20150101,20151231,1380.5,2380.85,1000.35
411398057,20150101,20151231,754.93,3630.54,2875.61
411909057,20150101,20151231,11964.54,16577.63,4613.09
414280051,20150524,20151231,100.43,143.96,43.53
414314033,20150101,20151231,2544.45,6067.95,3523.5
414968250,20150101,20151231,864.27,864.27,0.0
415103116,20150101,20151231,325.02,755.02,430.0
41514032,20150101,20151231,4399.22,9657.4,5258.18
415430160,20150101,20151231,3624.31,4828.63,1204.32
416110033,20150101,20151231,3069.59,5881.62,2812.03
416402470,20150101,20151231,175.68,970.07,794.39
417989541,20150216,20151231,1714.51,4520.21,2805.7
41903141,20150101,20151231,1205.96,4839.66,3633.7
41924383,20150101,20151231,3113.45,4125.58,1012.13
42020324,20150101,20151231,3816.99,8490.09,4673.1
42034635,20150101,20151231,366.01,5606.73,5240.72
42058330,20150101,20151231,2426.93,3113.96,687.03
422396657,20150101,20151231,659.3,2449.48,1790.18
422440062,20150101,20151231,213.13,213.58,0.45
424280051,20150522,20151231,3636.48,4689.84,1053.36
425103116,20150101,20151231,1793.45,3455.47,1662.02
425399535,20150101,20151231,7060.0,10784.55,3724.55
425430160,20150101,20151231,6015.6,8296.62,2281.02
428004100,20150101,20151231,6615.53,9959.94,3344.41
428589100,20150101,20151231,4525.82,5643.25,1117.43
430581700,20150101,20151231,6943.17,10614.7,3671.53
431903141,20150101,20151231,394.91,986.86,591.95
432020324,20150317,20151231,16.28,470.45,454.17
432440250,20150101,20151231,6867.08,13790.76,6923.68
433800457,20150101,20151231,1456.37,3063.26,1606.89
434109393,20150101,20151231,2986.99,6816.29,3829.3
435620022,20150101,20151231,196.27,959.54,763.27
435702160,20150101,20151231,0.0,0.0,0.0
436619157,20150101,20151231,510.57,2142.25,1631.68
438589100,20150101,20151231,19230.58,25021.78,5791.2
439004100,20150101,20151231,7643.41,9637.79,1994.38
439154457,20150101,20151231,1576.47,4163.83,2587.36
440058330,20150101,20151231,2711.46,4862.58,2151.12
440100023,20150101,20151231,8.0,42.73,34.73
44010033,20150410,20151231,3389.59,4341.41,951.82
440203016,20150101,20151231,1.07,6.59,5.52
441203016,20150101,20151231,2483.14,4040.29,1557.15
441609057,20150101,20151231,68.22,94.6,26.38
443282757,20150101,20151231,59.96,158.79,98.83
444009393,20150101,20151231,584.71,1272.64,687.93
445389535,20150101,20151231,3.09,4.79,1.7
446110033,20150101,20151231,8131.33,10531.72,2400.39
447186020,20150101,20151231,327.17,556.54,229.37
448976657,20150101,20151231,299.98,1176.3,876.32
449132635,20150101,20151231,2104.18,3215.19,1111.01
451203016,20150101,20151231,60.92,111.39,50.47
452100051,20150101,20151231,558.91,3496.09,2937.18
45430160,20150101,20151231,3190.5,4463.53,1273.03
456110033,20150101,20151231,5797.39,7985.23,2187.84
456788057,20150101,20151231,6837.32,8035.28,1197.96
456933657,20150101,20151231,45.23,104.05,58.82
457610085,20150103,20151231,1326.15,5628.0,4301.85
460203016,20150101,20151231,411.44,2439.1,2027.66
460583314,20150101,20151231,2418.28,2861.66,443.38
46109457,20150101,20151231,2.71,3.37,0.66
461203016,20150101,20151231,2908.85,5084.07,2175.22
461601257,20150312,20151231,5623.35,11411.61,5788.26
462100051,20150101,20151231,3172.33,6930.61,3758.28
466146357,20150101,20151231,9388.45,37204.24,27815.79
466273457,20150101,20151231,6384.63,7897.73,1513.1
467579057,20150101,20151231,1995.35,7444.35,5449.0
469014383,20150101,20151231,268.41,1141.52,873.11
470009393,20150101,20151231,9057.67,11409.66,2351.99
470299400,20150101,20151231,12839.46,17016.49,4177.03
470700316,20150101,20151231,299.37,724.16,424.79
472100023,20150101,20151231,782.46,3861.55,3079.09
473212470,20150101,20151231,4903.91,8359.54,3455.63
473816341,20150101,20151231,597.35,3051.23,2453.88
474430160,20150101,20151231,0.9,186.0,185.1
476989541,20150101,20151231,2006.02,6975.73,4969.71
477677903,20150101,20151231,4054.74,5966.75,1912.01
478004100,20150101,20151231,2851.99,4528.57,1676.58
478031735,20150101,20151231,12728.16,15743.06,3014.9
479740250,20150101,20151231,895.09,935.2,40.11
480856557,20150101,20151231,2658.8,5420.16,2761.36
480924383,20150101,20151231,3263.84,4359.72,1095.88
483011370,20150101,20151231,22991.84,28330.69,5338.85
483280051,20150522,20151231,887.68,1193.96,306.28
483294457,20150416,20151231,1.08,1673.51,1672.43
485096020,20150101,20151231,2092.58,3996.91,1904.33
488794457,20150416,20151231,7.06,1397.42,1390.36
490299400,20150101,20151231,18163.41,20512.48,2349.07
491020324,20150101,20151231,1452.91,3820.91,2368.0
493104357,20150101,20151231,2026.66,5231.09,3204.43
493280051,20150522,20151231,5796.16,8369.75,2573.59
499260250,20150101,20151231,0.0,0.0,0.0
500009393,20150101,20151231,5923.69,7977.21,2053.52
500147535,20150101,20151231,5462.61,8571.44,3108.83
50058330,20150101,20151231,1643.72,2609.25,965.53
500840170,20150101,20151231,4187.18,6147.19,1960.01
500932635,20150101,20151231,1349.28,3972.25,2622.97
501020324,20150101,20151231,39.36,39.41,0.05
501069541,20150101,20151231,527.15,1336.78,809.63
501299400,20150101,20151231,10435.93,13809.61,3373.68
50203016,20150217,20151231,5697.2,9801.18,4103.98
502032735,20150101,20151231,10018.41,15512.27,5493.86
502399535,20150101,20151231,10370.8,13944.9,3574.1
502635635,20150101,20151231,796.64,1572.47,775.83
503212470,20150101,20151231,98.6,109.45,10.85
504314033,20150101,20151231,382.19,383.16,0.97
505109393,20150101,20151231,2376.14,4797.09,2420.95
505319535,20150101,20151231,2612.31,3958.68,1346.37
507069541,20150101,20151231,3021.12,6556.36,3535.24
510910570,20150101,20151231,38.49,508.25,469.76
511069541,20150101,20151231,2318.64,5786.93,3468.29
511776441,20150217,20151231,0.0,4088.89,4088.89
511903141,20150101,20151231,0.0,0.0,0.0
512020324,20150101,20151231,228.7,634.67,405.97
514968250,20150101,20151231,18688.41,24540.52,5852.11
515399535,20150101,20151231,425.94,4124.76,3698.82
515430160,20150101,20151231,8557.0,11653.48,3096.48
515702160,20150101,20151231,6620.73,10369.58,3748.85
518004100,20150101,20151231,5503.61,8645.75,3142.14
