Age,Areas,ID,Salary
67,B  ,4,6448
64, D,128,6369
48, D,290,6260
39, D,83,6093
39, D,458,5559
72, D,610,5924
11,B  ,902,5863
27, D,655,6045
47, D,166,6168
10,  C  ,917,5988
69, D,345,5911
48, D,424,6024
67, D,412,6160
77,B  ,21,5489
46, D,297,6019
36, D,26,5709
58,B  ,349,6115
69,  C  ,306,5907
51, D,245,5938
52, D,531,5552
47, D,671,5890
41,B  ,644,5800
20,  C  ,629,5988
16,B  ,916,6193
78,B  ,478,5823
32, D,122,5780
19, D,302,6331
21, D,97,6002
17, D,320,5978
27, D,885,5847
12, D,980,5923
23, D,548,5488
22, D,623,5955
27, D,530,6172
56,B  ,797,6014
34,B  ,693,5699
71, A  ,209,6055
43, D,858,5918
29, D,274,6078
70,B  ,587,5956
66, D,764,6004
36, D,253,6028
39,B  ,340,6331
47,B  ,699,6039
23, D,448,5807
24,  C  ,489,5990
27, D,785,6095
42, D,696,6218
28,  C  ,529,5526
14, D,709,6253
33,B  ,343,5862
47, D,350,6069
37,B  ,641,5981
32, D,513,5733
62, D,420,6343
63, D,341,6213
51, D,906,6364
56, D,488,6110
21,  C  ,28,5962
52, D,531,5552
76,B  ,761,5909
50, D,127,5912
71,B  ,268,6017
39, D,458,5559
38,B  ,301,5738
52,  C  ,816,6347
34, D,737,6112
20, D,132,6107
40, D,161,5900
69,  C  ,306,5907
26, D,372,5801
53,B  ,972,6193
61, D,763,6144
49, D,392,5955
42,B  ,774,6038
37, A  ,828,6445
13,B  ,713,5860
60, D,519,6056
31, D,237,6298
79, D,724,5922
64, D,524,5822
32,  C  ,615,5973
59, D,893,6186
54, D,540,5978
23, D,409,5962
55, D,617,6044
64, D,945,5985
51, D,922,6255
61, D,884,5957
78,  C  ,163,6189
57,B  ,377,6128
57,B  ,14,6024
78, D,752,5667
71, D,6,5804
30, D,266,6037
47, D,369,5946
33, D,837,5830
43, D,605,5718
65, D,998,6018
34,  C  ,860,6005
11, D,428,5452
33, D,748,6144
20, D,831,6064
39, D,56,6085
18,B  ,603,5811
55, D,169,6237
54, D,892,6094
51,B  ,633,6093
10, D,624,5939
26, D,423,5581
33,B  ,11,6028
53, A  ,536,5882
15, D,337,5648
60,B  ,148,6223
61,B  ,220,5991
16,B  ,474,5858
35,  C  ,593,5956
39, D,977,5918
64, D,945,5985
12, D,794,6262
20, D,905,5829
75,  C  ,430,6053
27, D,101,6376
69,  C  ,323,6054
46,B  ,344,5757
37, D,944,6551
57,B  ,684,6173
17,B  ,933,6061
13, D,104,6193
41,  C  ,381,5660
45, A  ,694,5644
11,  C  ,545,5923
64, D,819,5829
45, D,899,6518
51, D,936,5831
65, D,200,6267
16, D,133,5865
37,B  ,481,6154
58, D,195,6104
15, D,966,5985
27,  C  ,120,6184
72, D,994,6048
43, D,951,5810
34, D,49,5677
27, D,870,6173
16,  C  ,849,5850
71,  C  ,800,5834
28,B  ,380,6176
13,  C  ,542,5758
71, A  ,890,5839
74,  C  ,647,6205
10, D,718,5907
66, D,642,6273
15, D,160,5912
69, D,640,6271
10,B  ,834,5986
27,B  ,943,6096
38,B  ,970,6159
16,B  ,916,6193
77, D,577,5838
30, D,214,5906
41,B  ,389,6329
22, D,826,6065
20, D,792,5989
54, D,106,6388
18, D,995,6057
39, D,173,6171
10, D,777,5988
16,  C  ,347,5927
32, D,626,5754
58, D,195,6104
65, D,29,6306
39, D,23,6172
17, A  ,96,6141
23, A  ,293,6460
61,B  ,467,5807
75, D,224,6096
10,  C  ,917,5988
78, D,596,6075
67,B  ,4,6448
16, D,833,6006
21,  C  ,125,5861
57,B  ,383,5548
57, D,421,6185
47,  C  ,279,5593
19, A  ,971,5868
26, D,756,6164
70,B  ,168,5691
31, D,44,6390
46, D,328,6451
17, A  ,96,6141
77,B  ,585,5889
16, D,538,5963
72,B  ,443,5982
26, D,520,6348
60, D,275,5869
19, D,449,5843
67,B  ,4,6448
59,B  ,185,6125
48, D,276,5921
30, D,38,6240
39, D,217,5996
35, D,321,5856
72, D,808,5994
67,  C  ,856,5912
71, D,769,6369
58, D,195,6104
57, D,957,6172
41, D,284,6307
66, D,280,6412
44, D,544,6303
26, D,728,6248
69,  C  ,323,6054
29, D,946,6051
70, D,353,6272
40,B  ,401,5880
27, D,101,6376
18,  C  ,135,5872
23, D,356,5895
39,  C  ,766,5779
54, D,359,5904
68,B  ,142,6087
16, A  ,882,5807
42, D,41,5790
60, D,190,6308
13, D,814,5868
26, D,208,5852
53, D,889,6054
33, D,799,5915
35,  C  ,408,6011
13, D,814,5868
22, D,650,6310
43, D,403,6153
15, D,760,5686
47,  C  ,198,6164
21,  C  ,146,6188
33, D,376,6098
62, D,420,6343
23,B  ,487,6302
52, D,447,6091
41,B  ,747,6002
75, D,76,5863
31, D,237,6298
29,B  ,557,5527
68, A  ,527,6187
68,  C  ,643,6206
64, D,602,6083
72, D,396,5847
55, D,414,5953
32, D,180,6003
68, D,258,5723
22, D,498,5897
74, D,731,5898
70,B  ,861,6230
47,  C  ,648,5985
67,B  ,526,5822
16,B  ,916,6193
47, D,611,5651
69, D,640,6271
18, D,204,6131
54, D,532,6080
28, D,727,5813
40, D,103,5745
10,  C  ,351,5847
22, A  ,654,6104
16, D,398,6228
48, D,788,6084
35,B  ,305,6133
76,  C  ,206,5676
15,  C  ,199,6432
16, D,27,6009
48, D,788,6084
77,B  ,314,5853
52,  C  ,382,6077
16, D,88,5964
36, D,674,5817
55, D,64,5654
73, D,115,5946
56, D,795,5828
69, D,740,5802
61, D,483,5818
71, D,928,5948
31, D,237,6298
72, D,685,5868
19,  C  ,500,5984
27, D,462,5804
27,  C  ,251,6104
58, D,195,6104
49, D,48,6155
46, D,324,5821
77, D,277,6098
57,B  ,366,6032
71, D,393,5929
15,  C  ,566,6039
42, D,959,6469
49,  C  ,153,5851
37, D,559,5730
50,B  ,338,6090
56, A  ,613,6121
13, D,848,5892
20, D,564,5643
26, D,336,6121
56,B  ,942,6259
43, D,67,5673
10, D,624,5939
78, D,182,5725
44, D,697,5930
69,  C  ,306,5907
53, D,741,5764
60, D,535,5744
61,B  ,360,6124
51, D,332,5762
57, D,750,6060
69,  C  ,113,5827
47, A  ,362,6000
61,B  ,708,5992
23, D,580,6226
35,  C  ,63,5837
36,B  ,242,5920
37, D,715,6265
17, A  ,252,5884
67,B  ,4,6448
71, D,108,5850
69,  C  ,164,6017
34, D,986,6086
71,B  ,268,6017
23, D,475,6347
13, D,997,5960
71, D,108,5850
69, D,505,5930
19, A  ,971,5868
24, D,34,5603
16, A  ,427,6188
60,B  ,590,5390
75, D,42,5715
24, D,569,6001
36, D,459,6039
40, D,439,6160
15,  C  ,723,6036
55, D,73,6227
69, D,640,6271
37, D,440,6015
58, D,734,5789
13,B  ,846,5961
10,B  ,319,5987
16, D,405,5646
64,B  ,999,5770
75, D,42,5715
68,B  ,496,5985
21,  C  ,721,5922
37, D,37,6246
26, D,72,6025
28, D,495,6539
68, D,733,5898
25, D,149,5736
72,B  ,232,5901
36, D,263,5880
31, D,431,5906
59, D,627,6036
64, D,945,5985
48, D,873,5951
78, D,780,5986
13,B  ,682,6224
50,B  ,338,6090
71,B  ,863,6004
38,B  ,937,5798
67,  C  ,45,5898
61,B  ,360,6124
31,B  ,89,5785
28,B  ,840,6062
62, D,420,6343
78, D,789,5728
28,B  ,234,6083
19, D,729,6162
74,B  ,963,6059
55,B  ,247,6230
68, D,250,5706
45, D,762,6053
78, D,710,6042
71, D,188,6010
70, D,978,5827
11,B  ,236,6156
24, D,569,6001
58,B  ,248,6215
13, D,814,5868
10,B  ,235,5768
77,B  ,156,5867
53, D,167,5799
39, A  ,599,5813
39,  C  ,722,5897
14, D,620,5698
50, D,636,6080
78, D,255,6138
66, D,280,6412
37,B  ,450,5977
48, D,546,5911
58, D,874,5824
47, D,95,6071
27, D,110,6296
10,  C  ,570,6105
54, D,394,5676
46, D,802,6157
62, D,854,5729
38, D,758,5858
16, D,223,5907
53, D,518,6209
56, D,490,6044
58, D,822,6002
70, D,226,6012
27, D,116,6160
39, D,458,5559
34, D,737,6112
51, D,622,5923
62,B  ,51,5820
23, D,664,6019
75,B  ,926,6467
36,B  ,407,6162
37,  C  ,965,5900
43, D,75,6080
71, D,796,5820
72, D,994,6048
77, D,322,5837
61, D,779,5673
19, D,302,6331
37, D,244,5940
57, D,257,5854
50,B  ,338,6090
66,B  ,157,6225
40, D,58,6060
34, D,85,6297
22, D,744,5973
34, D,737,6112
18,  C  ,918,5947
56, D,704,6218
37, D,631,5862
32,B  ,3,6195
16,B  ,318,5942
55, D,676,6078
53, D,473,5944
71, D,283,5861
21, D,97,6002
40,B  ,839,6094
31, D,415,6346
66, D,280,6412
36, D,189,5852
38,B  ,301,5738
68, D,59,5873
15, D,218,6075
67,B  ,4,6448
78, D,575,6117
65, D,998,6018
11, D,801,6282
15, A  ,102,5730
44, D,836,6173
74,B  ,845,6081
24,  C  ,219,6451
25, D,588,6089
24, D,569,6001
15, D,100,6080
21, D,97,6002
55,B  ,491,5794
79,  C  ,935,5937
21,  C  ,143,6033
23, D,475,6347
79, D,981,6071
58, D,195,6104
27, D,254,5936
38, D,900,5919
13, D,93,6041
13, D,814,5868
52,B  ,825,5866
46,B  ,364,6067
13, D,93,6041
57,  C  ,123,6059
27, D,101,6376
59, D,144,6127
78, D,329,5859
44, D,346,5943
43, D,951,5810
50,B  ,338,6090
45, D,941,6073
36,B  ,242,5920
65, D,700,6216
53, D,36,6031
21,B  ,295,5972
39, D,170,6063
20, D,422,6116
69, D,82,6180
52, D,584,6156
29, A  ,556,6259
76,  C  ,692,6189
65, D,998,6018
62, D,809,5662
65, D,385,6007
64, D,945,5985
68, D,300,6074
32, A  ,964,6165
45, D,460,5989
64, D,507,5673
50, D,582,5868
48, A  ,632,5976
37, D,638,6050
51,B  ,452,6164
32, D,472,5892
46, D,639,6164
24, D,363,6186
24, D,569,6001
30, D,850,6006
37, D,576,5927
54,  C  ,134,6006
67,B  ,4,6448
31,B  ,743,6350
54, D,948,6287
48,B  ,202,5952
19, D,516,6035
33,B  ,442,5768
14, D,790,5991
26, D,397,6171
14, D,184,5555
42, D,841,6047
66, D,616,6080
41,  C  ,811,5893
36,  C  ,781,6297
64, D,945,5985
42,B  ,787,6105
45, D,672,5623
67, A  ,725,5679
44, D,346,5943
51, D,689,5992
52, D,698,5841
17, D,69,5818
28,B  ,479,6225
36, D,91,5919
57, D,484,5915
35, D,321,5856
59, D,609,6023
52, D,531,5552
39,  C  ,154,5834
57,B  ,982,5971
26, D,608,5667
42, D,508,5686
34, D,737,6112
14, D,352,5712
46,B  ,16,6066
61, D,927,5944
72, D,55,5994
14, D,775,5926
52, D,531,5552
70,  C  ,13,6152
36,B  ,242,5920
65, D,915,5754
11,  C  ,812,6129
22, D,334,5763
40, D,956,6049
45,  C  ,806,6081
14, D,492,5930
79, D,371,6056
55, A  ,47,5749
56, D,432,5716
67,B  ,150,5907
73,  C  ,429,5886
26, D,793,5820
51, D,598,5956
75, D,17,6298
50,B  ,338,6090
69, D,307,5733
54,B  ,107,5917
22, D,844,6426
42,B  ,774,6038
19, A  ,971,5868
37,  C  ,172,6063
63, D,262,5898
74, D,878,5828
71, D,81,5766
48, A  ,174,5869
76, D,909,6192
44, D,739,5979
51, D,358,5904
69, D,640,6271
29, D,357,5631
67, D,271,6079
48,B  ,379,5958
15, D,765,6143
15,  C  ,595,6070
32, D,757,6134
69,  C  ,323,6054
77, D,378,5685
57,B  ,651,6057
35, D,321,5856
23, D,475,6347
24, D,572,5634
42, D,221,5808
26,B  ,361,6139
48,B  ,379,5958
13, D,151,5986
32, D,43,5658
45, D,967,6002
79, D,929,6072
23,  C  ,600,5964
59, D,868,6061
11, D,311,5973
55, D,400,6170
19, D,601,5689
27, D,983,5927
17, A  ,96,6141
54, D,370,5774
57, D,607,5977
21, D,175,5793
79,B  ,952,6048
39, D,499,5796
57, D,130,6081
68, D,930,6294
55, D,158,5784
10, D,273,6391
69,  C  ,306,5907
41, D,386,5668
69, D,640,6271
62,B  ,592,6087
15, D,241,5872
23,B  ,667,5995
18, D,303,5976
45, D,229,5880
72, D,55,5994
47, D,913,6206
13, D,987,5918
48,B  ,634,5925
33, D,9,5979
26,B  ,630,5999
19, D,126,5970
18, D,665,5910
10, D,720,5889
56, D,201,5926
23,B  ,330,6188
78, D,46,5912
39, D,355,5869
27, D,476,6198
50,B  ,687,6423
37, D,90,6210
36, D,522,5817
71,  C  ,315,5923
53, D,832,6199
18,B  ,668,6215
21, D,509,5764
69, D,742,5771
40,  C  ,514,5606
12,  C  ,852,5769
34, D,737,6112
69,  C  ,306,5907
45, D,193,5992
57, D,853,5930
48, D,788,6084
72, D,898,5691
10, D,367,5961
13, D,93,6041
47,B  ,413,5938
18,B  ,887,6187
32,B  ,810,5977
21,  C  ,57,6013
58,B  ,645,5756
71,B  ,268,6017
75,B  ,702,5757
39, D,111,6373
72, D,705,6046
10, D,624,5939
39, D,658,5736
15,  C  ,595,6070
64, D,296,6227
57,B  ,539,5959
72,  C  ,897,5828
23, D,548,5488
28, D,136,6135
16, D,573,6007
79,B  ,625,5924
13, A  ,646,5939
60,B  ,894,5964
45,B  ,877,5955
20, D,54,5763
77, D,691,6066
48,B  ,379,5958
49, D,656,6089
48, D,788,6084
53, D,446,5976
25, D,782,6104
41, D,990,5939
38,B  ,732,5836
57, D,992,6035
41, D,212,6063
31, D,114,6382
17, D,261,5762
51, D,712,6135
69, D,445,6175
72,  C  ,996,6082
65,B  ,962,6187
44,B  ,112,6181
37,B  ,586,5905
63, D,470,6050
31, D,237,6298
19, D,302,6331
46, D,434,6055
41, D,22,6130
52,B  ,327,5968
16,B  ,916,6193
16,B  ,916,6193
56,B  ,695,5893
13, D,574,6153
45, D,560,5847
18, D,52,6077
65, D,659,5925
19,  C  ,612,5739
50,B  ,673,5610
37, D,317,5991
13, D,973,6045
75,B  ,660,5810
65, D,998,6018
63,B  ,767,5979
13, D,145,6476
79, D,621,6135
74, D,838,5934
58, D,425,5973
70, D,70,6010
74, D,879,6010
71,B  ,268,6017
72, D,994,6048
25,B  ,15,6088
22, A  ,310,5968
46, A  ,815,6093
61, D,975,6402
70,B  ,988,6144
71, D,108,5850
57, D,754,6339
61, D,908,5763
61, D,835,6010
29,B  ,749,5635
41, D,286,6121
14, D,469,5542
37,  C  ,172,6063
12, D,98,6357
64,B  ,99,6025
14, D,131,5846
64,  C  ,776,5641
11, D,553,6188
63, D,155,5980
27, D,581,5609
48, A  ,632,5976
46, D,227,6031
23,B  ,330,6188
10,B  ,105,5765
72, D,55,5994
23, D,716,5979
36,B  ,242,5920
48, D,843,6194
56, A  ,953,6280
70, D,152,6342
40, D,707,6187
23,B  ,330,6188
17, A  ,96,6141
24, D,569,6001
48, D,583,5772
64, D,534,6012
54,  C  ,717,5839
45, D,968,6313
42,B  ,867,5977
10,  C  ,917,5988
27, D,555,5864
23,  C  ,331,6149
24, D,569,6001
63, D,94,6195
68, D,677,5812
27, D,101,6376
15, D,738,5743
38,  C  ,759,6007
73, D,923,6265
68, D,525,6048
73, D,494,6259
23,B  ,330,6188
75,  C  ,558,6004
37,  C  ,171,6184
15,B  ,281,5977
13, D,93,6041
78, D,291,5874
13, D,939,5841
18, D,880,5641
54, D,540,5978
12,B  ,842,5926
38, D,771,5900
34, D,686,5433
20, D,313,5774
62, D,441,5920
72, D,230,5952
34,B  ,753,6089
20, D,463,5912
49, D,925,6009
31, D,903,6073
35, D,876,5787
50, D,225,5691
42,B  ,597,5905
19, A  ,541,6042
15, D,818,6336
51, D,985,5812
16,B  ,916,6193
62, D,461,5896
23, D,475,6347
54, D,591,6108
40, D,179,5908
18, D,204,6131
10, D,624,5939
28,B  ,404,6071
50, D,637,5816
26, D,316,6018
35, D,321,5856
48,  C  ,117,6189
40, D,823,5832
23,B  ,330,6188
37,  C  ,735,6499
76, D,124,6265
36, A  ,435,5805
34, D,78,5884
20, D,895,5715
24, D,569,6001
73,  C  ,187,5779
57, D,872,5873
74, D,862,6034
44, A  ,451,5789
63, D,932,5948
13,B  ,65,6035
21, D,974,6277
79,B  ,416,6136
70, D,80,6011
35, D,465,5899
50, D,178,5862
13,B  ,682,6224
72, D,207,5995
47, D,919,6070
54, D,325,5768
71, D,108,5850
31, D,384,5795
54, D,594,5783
13, D,813,6202
16,B  ,551,6032
11, D,118,5968
19, D,688,5677
23,B  ,562,5991
78,B  ,77,5825
59,B  ,865,6045
19, D,730,6117
42,  C  ,798,5784
35, D,321,5856
23, D,497,5868
19, D,561,6402
49, D,955,6105
72, D,994,6048
37, D,259,5683
13, D,820,6004
10,  C  ,662,5747
75, D,786,6029
77, D,969,6138
56, D,914,5590
23, D,475,6347
71, D,108,5850
33, A  ,471,5596
31,  C  ,653,6063
13,B  ,86,6379
48,  C  ,326,5937
73,B  ,243,5973
37, D,140,5781
12, D,406,6071
28, D,679,6284
30,  C  ,683,6151
40, D,726,5822
12, D,784,5731
75, D,205,6128
39, D,186,5679
47, D,661,5813
54,B  ,979,5971
49,  C  ,714,5941
68, D,851,5483
73, D,410,5838
50, D,931,6318
39, D,503,6219
41, D,287,5790
77,  C  ,31,6030
46,  C  ,875,6139
69, D,640,6271
41, D,657,5986
57,B  ,684,6173
15,  C  ,375,6009
54, D,540,5978
13, D,456,6404
52,B  ,18,5958
24,B  ,33,5822
66,B  ,984,6212
71,B  ,863,6004
14, D,827,6066
63,B  ,402,5776
61, D,129,6134
74, D,681,5881
72, A  ,411,5710
10, D,805,6188
44, D,950,5976
21, D,159,5770
71,B  ,268,6017
22, D,419,6303
21, D,97,6002
54, D,540,5978
37, D,312,6215
20, D,374,5950
27, D,101,6376
47,  C  ,66,5919
37,  C  ,670,6075
49,B  ,74,5753
21,  C  ,778,5936
68, D,308,5730
30, D,746,6111
66, D,267,6104
10,  C  ,917,5988
25, D,119,6122
33, D,678,6203
19,  C  ,272,5445
56, D,989,6277
36,  C  ,807,6099
30, D,703,5842
17, D,910,6265
53, D,857,5671
20, D,213,6157
51, D,515,5867
42, D,176,6136
19,B  ,543,5951
27, D,304,5863
14, D,365,5996
27, D,285,6057
18, D,482,6205
37,  C  ,172,6063
30, D,32,6075
34,B  ,504,5953
45, D,701,5711
63, A  ,666,5870
60,B  ,177,5839
75, D,537,5947
33, D,270,6019
10, D,109,6384
32, D,757,6134
27,  C  ,348,6031
77, D,196,5965
24, D,569,6001
54, D,540,5978
27,  C  ,251,6104
49, D,649,5879
74, D,879,6010
61,B  ,360,6124
36,B  ,770,5957
10, D,624,5939
43, D,858,5918
18,B  ,603,5811
49, D,391,6113
47, D,264,5989
53,B  ,256,6138
53,  C  ,30,6293
38, D,84,5692
23,  C  ,238,5586
42,B  ,165,5754
37,  C  ,172,6063
66, D,280,6412
58, D,444,6038
50, D,477,6263
76,  C  ,210,5980
62,  C  ,517,6099
60,B  ,289,6137
10,  C  ,917,5988
21, D,97,6002
62, D,420,6343
25,  C  ,506,5883
28, D,940,5893
55,B  ,961,5926
44, A  ,578,5776
59, D,203,6219
44, D,299,5920
71, D,438,6001
20, D,354,5862
64, D,945,5985
18,B  ,603,5811
40, D,486,5468
16, D,454,6055
49, D,772,6004
63,  C  ,563,6039
63, D,830,5898
31,B  ,512,6274
66, D,912,5719
66,B  ,249,5837
21, D,211,6182
42, D,755,5997
51,B  ,8,5969
50, D,567,6070
10,B  ,719,6204
61, D,298,6116
45, D,571,6090
71, D,108,5850
18, D,204,6131
23,B  ,330,6188
69, D,640,6271
51, D,7,6190
77, A  ,25,6453
61,B  ,360,6124
27, D,785,6095
53, D,896,6399
12,  C  ,137,6115
10, D,433,6173
44, D,697,5930
67,  C  ,675,6043
79, D,138,5958
29, D,690,6476
22, D,864,6019
67, D,147,5817
77,  C  ,881,6265
44,  C  ,635,5909
44, D,437,6164
43, D,858,5918
53, D,565,5854
48,B  ,379,5958
23,B  ,907,5895
35, A  ,904,6038
31,  C  ,653,6063
10, D,624,5939
29, D,390,6032
73, D,960,5744
28, D,309,6138
35,B  ,61,5865
45,  C  ,181,5929
31,B  ,5,6373
70, D,68,6092
23, D,869,5725
26, D,783,6122
33, A  ,663,6090
18,B  ,603,5811
24, D,215,5811
52, D,531,5552
27, D,240,6135
47, D,71,6145
54, D,892,6094
27, D,606,5881
23, D,475,6347
42, A  ,954,5917
33, D,821,5997
65, D,269,5937
23,B  ,847,6151
49, D,292,5903
31,  C  ,653,6063
67, D,924,6041
68,B  ,855,5793
29, D,388,5705
79, D,231,5715
74, D,92,6244
13, D,866,5796
69, D,640,6271
77, D,239,6085
44, D,589,5921
69,  C  ,306,5907
22, D,614,6179
37,B  ,468,5841
49,B  ,288,6242
16, A  ,751,6154
18, D,803,5988
25, D,568,6123
63, D,932,5948
17, A  ,96,6141
13,B  ,335,5468
58, D,554,5946
22, D,228,6046
16, D,669,5599
78,B  ,871,6216
57, D,804,5921
54, D,892,6094
16, D,79,5937
16,B  ,20,5829
70,B  ,464,6036
43, D,618,6065
21, D,457,5906
26, D,373,6168
68,  C  ,162,6385
26, D,24,5851
31, D,791,5848
23, D,528,6282
35, D,511,6179
12, D,480,6099
