DATA_DATE_E,ERR_NUM
2014/5/1,5
2014/5/2,13
2014/5/3,5
2014/5/4,2
2014/5/5,4
2014/5/6,7
2014/5/7,8
2014/5/8,2
2014/5/9,13
2014/5/10,1
2014/5/11,11
2014/5/12,5
2014/5/13,13
2014/5/14,4
2014/5/15,5
2014/5/16,8
2014/5/17,2
2014/5/18,3
2014/5/19,9
2014/5/20,5
2014/5/21,4
2014/5/22,15
2014/5/23,22
2014/5/24,9
2014/5/25,3
2014/5/26,10
2014/5/27,7
2014/5/28,10
2014/5/29,8
2014/5/30,3
2014/5/31,11
2014/6/1,11
2014/6/2,5
2014/6/3,2
2014/6/4,2
2014/6/5,6
2014/6/6,9
2014/6/7,5
2014/6/8,5
2014/6/9,7
2014/6/10,6
2014/6/11,8
2014/6/12,3
2014/6/13,7
2014/6/14,4
2014/6/15,7
2014/6/16,10
2014/6/17,11
2014/6/18,7
2014/6/19,10
2014/6/20,5
2014/6/21,7
2014/6/22,7
2014/6/23,3
2014/6/24,5
2014/6/25,6
2014/6/26,3
2014/6/27,3
2014/6/28,10
2014/6/29,7
2014/6/30,3
2014/7/1,3
2014/7/2,4
2014/7/3,6
2014/7/4,9
2014/7/5,3
2014/7/6,5
2014/7/7,5
2014/7/8,6
2014/7/9,3
2014/7/10,11
2014/7/11,29
2014/7/12,53
2014/7/13,12
2014/7/14,8
2014/7/15,4
2014/7/16,6
2014/7/17,10
2014/7/18,11
2014/7/19,10
2014/7/20,7
2014/7/21,8
2014/7/22,14
2014/7/23,12
2014/7/24,31
2014/7/25,85
2014/7/26,16
2014/7/27,162
2014/7/28,9
2014/7/29,10
2014/7/30,11
2014/7/31,12
2014/8/1,15
2014/8/2,19
2014/8/3,5
2014/8/4,10
2014/8/5,6
2014/8/6,11
2014/8/7,92
2014/8/8,53
2014/8/9,9
2014/8/10,9
2014/8/11,10
2014/8/12,11
2014/8/13,6
2014/8/14,8
2014/8/15,10
2014/8/16,8
2014/8/17,4
2014/8/18,6
2014/8/19,5
2014/8/20,7
2014/8/21,6
2014/8/22,9
2014/8/23,27
2014/8/24,303
2014/8/25,7
2014/8/26,6
2014/8/27,5
2014/8/28,6
2014/8/29,39
2014/8/30,4
2014/8/31,10
2014/9/1,26
2014/9/2,88
2014/9/3,4
2014/9/4,5
2014/9/5,2
2014/9/6,8
2014/9/7,3
2014/9/8,5
2014/9/9,3
2014/9/10,4
2014/9/11,7
2014/9/12,18
2014/9/13,6
2014/9/14,8
2014/9/15,6
2014/9/16,8
2014/9/17,1
2014/9/18,4
2014/9/19,9
2014/9/20,9
2014/9/21,9
2014/9/22,15
2014/9/23,9
2014/9/24,9
2014/9/25,7
2014/9/26,10
2014/9/27,5
2014/9/28,7
2014/9/29,4
2014/9/30,7
2014/10/1,3
2014/10/2,6
2014/10/3,5
2014/10/4,7
2014/10/5,4
2014/10/6,6
2014/10/7,5
2014/10/8,3
2014/10/9,7
2014/10/10,6
2014/10/11,7
2014/10/12,15
2014/10/13,13
2014/10/14,5
2014/10/15,5
2014/10/16,4
2014/10/17,8
2014/10/18,4
2014/10/19,7
2014/10/20,3
2014/10/21,4
2014/10/22,3
2014/10/23,6
2014/10/24,4
2014/10/25,5
2014/10/26,5
2014/10/27,2
2014/10/28,8
2014/10/29,7
2014/10/30,13
2014/10/31,5
2014/11/1,2
2014/11/2,10
2014/11/3,1
2014/11/4,3
2014/11/5,6
2014/11/6,12
2014/11/7,12
2014/11/8,2
2014/11/10,6
2014/11/11,7
2014/11/12,11
2014/11/13,7
2014/11/14,8
2014/11/15,7
2014/11/16,4
2014/11/17,3
2014/11/18,4
2014/11/19,5
2014/11/20,6
2014/11/21,2
2014/11/22,3
2014/11/23,4
2014/11/24,20
2014/11/25,2
2014/11/26,4
2014/11/27,7
2014/11/28,4
2014/11/29,4
2014/11/30,15
2014/12/1,4
2014/12/2,6
2014/12/3,3
2014/12/4,6
2014/12/5,5
2014/12/6,8
2014/12/7,2
2014/12/8,6
2014/12/9,4
2014/12/10,7
2014/12/11,5
2014/12/12,7
2014/12/13,6
2014/12/14,4
2014/12/15,4
2014/12/16,18
2014/12/17,8
2014/12/18,3
2014/12/19,7
2014/12/20,9
2014/12/21,6
2014/12/22,11
2014/12/23,7
2014/12/24,9
2014/12/25,5
2014/12/26,4
2014/12/27,3
2014/12/28,7
2014/12/29,4
2014/12/30,8
2014/12/31,6
2015/1/2,2
2015/1/4,6
2015/1/6,3
2015/1/8,7
2015/1/10,8
2015/1/12,3
2015/1/14,5
2015/1/16,4
2015/1/18,3
2015/1/20,6
2015/1/22,7
2015/1/24,3
2015/1/26,9
2015/1/28,3
2015/1/30,6
2015/2/2,1
2015/2/4,6
2015/2/6,4
2015/2/8,1
2015/2/10,3
2015/2/12,4
2015/2/14,4
2015/2/18,3
2015/2/20,7
2015/2/22,7
2015/2/24,7
2015/2/26,4
2015/2/28,4
2015/3/2,4
2015/3/4,2
2015/3/6,1
2015/3/8,9
2015/3/10,6
2015/3/12,4
2015/3/14,5
2015/3/16,1
2015/3/18,13
2015/3/20,3
2015/3/22,4
2015/3/24,6
2015/3/26,3
2015/3/28,3
2015/3/30,3
2015/4/2,38
2015/4/4,23
2015/4/6,5
2015/4/8,7
2015/4/10,6
2015/4/12,21
2015/4/14,9
2015/4/16,6
2015/4/18,7
2015/4/20,1
2015/4/22,3
2015/4/24,5
2015/4/26,6
2015/4/28,98
2015/4/30,4
2015/5/2,11
2015/5/4,6
2015/5/6,3
2015/5/8,7
2015/5/10,4
2015/5/12,7
2015/5/14,7
2015/5/16,2
2015/5/18,4
2015/5/20,5
2015/5/22,4
2015/5/24,7
2015/5/26,5
2015/5/28,8
2015/5/30,2
2015/6/2,14
2015/6/4,4
2015/6/6,8
2015/6/8,3
2015/6/10,6
2015/6/12,7
2015/6/14,6
2015/6/16,43
2015/6/18,8
2015/6/20,11
2015/6/22,1
2015/6/24,15
2015/6/26,5
2015/6/28,9
2015/6/30,8
2015/7/2,3
2015/7/6,4
2015/7/8,2
2015/7/12,3
2015/7/16,1
2015/7/20,2
2015/7/24,4
2015/7/26,7
2015/7/28,1
2015/7/30,2
2015/8/2,2
2015/8/4,2
2015/8/8,2
2015/8/10,2
2015/8/14,2
2015/8/16,1
2015/8/20,1
2015/8/26,2
2015/8/28,3
2015/9/2,1
2015/9/4,2
2015/9/8,2
2015/9/10,1
2015/9/16,1
2015/9/18,1
2015/9/20,1
2015/9/22,1
2015/9/26,1
2015/9/28,2
2015/9/30,2
2015/10/10,1
2015/10/12,1
2015/10/20,1
2015/10/30,2
2015/11/8,1
2015/11/12,2
2015/11/20,2
2015/11/22,3
2015/11/26,7
2015/11/30,2
2015/12/2,1
2015/12/10,2
2015/12/14,1
2015/12/16,1
2015/12/18,1
2015/12/20,1
