DATA_DATE_E,PRO_M,ERR_TIME_R,ERR_DEV,ERR_TYPE,RES_TYPE
2014/1/6 12:52,重合不成,2014/1/6 13:31,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/6 15:21,接地,2014/1/6 20:43,金具,设计安装不当,安装工艺不当
2014/1/6 15:27,重合不成,2014/1/6 17:07,电缆,外力因素,建设施工
2014/1/7 8:06,重合不成,2014/1/7 9:58,架空导线,外力因素,鸟害等小动物
2014/1/7 10:46,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/7 17:20,重合不成,2014/1/7 18:24,,原因不明,
2014/1/7 17:32,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/7 21:43,重合成功,,,原因不明,
2014/1/7 22:14,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/8 4:46,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/8 9:07,重合成功,,,原因不明,
2014/1/8 11:47,无重合闸,2014/1/8 12:38,电缆附件,设备本体,设备质量问题
2014/1/8 15:20,接地,2014/1/8 15:49,电缆,用户原因,设备老旧
2014/1/8 17:19,重合成功,,,原因不明,
2014/1/8 17:19,重合成功,,,原因不明,
2014/1/9 12:00,重合成功,,,原因不明,
2014/1/9 15:20,重合不成,2014/1/9 15:44,架空导线,外力因素,建设施工
2014/1/9 19:13,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/9 21:02,重合成功,,,原因不明,
2014/1/10 2:02,重合成功,,,原因不明,
2014/1/10 4:23,重合成功,,,原因不明,
2014/1/10 4:23,重合成功,,,原因不明,
2014/1/10 6:57,无重合闸,2014/1/10 8:08,电缆附件,设备本体,设备质量问题
2014/1/10 7:07,重合成功,,,原因不明,
2014/1/10 7:47,重合不成,2014/1/10 9:47,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/10 13:03,重合成功,,,原因不明,
2014/1/10 14:34,重合不成,2014/1/10 15:32,架空导线,外力因素,建设施工
2014/1/10 16:02,重合不成,2014/1/10 21:12,杆塔,外力因素,车辆
2014/1/10 23:31,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/11 11:52,重合成功,,架空导线,外力因素,车辆
2014/1/11 13:00,重合不成,2014/1/11 15:55,电缆附件,设备本体,设备质量问题
2014/1/11 13:58,重合成功,,,原因不明,
2014/1/11 15:30,重合成功,,配电变压器,用户原因,设备老旧
2014/1/11 15:53,重合成功,,,原因不明,
2014/1/11 16:15,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/11 17:00,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/11 21:50,接地,2014/1/12 2:05,电缆,外力因素,外部火灾
2014/1/12 7:23,重合成功,,,原因不明,
2014/1/12 9:26,重合成功,,,原因不明,
2014/1/12 12:29,重合成功,,配电变压器,设计安装不当,安装工艺不当
2014/1/12 14:59,无重合闸,2014/1/12 16:38,电缆附件,设备本体,设备质量问题
2014/1/12 20:04,重合成功,,,原因不明,
2014/1/12 21:23,重合不成,2014/1/13 1:03,电缆,设备本体,污闪
2014/1/12 23:15,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/1/13 9:49,接地,2014/1/13 11:29,电缆,设备本体,设备老化
2014/1/13 9:53,重合成功,,,原因不明,
2014/1/13 10:13,重合不成,2014/1/13 10:55,架空导线,外力因素,建设施工
2014/1/13 12:48,重合成功,,配电变压器,设计安装不当,安装工艺不当
2014/1/14 9:10,重合不成,2014/1/14 11:05,配电变压器,用户原因,设备老旧
2014/1/14 12:20,接地,2014/1/14 14:43,电缆,外力因素,建设施工
2014/1/14 12:34,无重合闸,2014/1/14 13:45,电缆,用户原因,外力破坏
2014/1/15 8:47,重合不成,2014/1/15 10:46,电缆附件,用户原因,设备老旧
2014/1/15 8:56,重合成功,,,原因不明,
2014/1/15 11:41,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/15 20:40,重合成功,,,原因不明,
2014/1/16 9:36,重合不成,2014/1/16 10:37,架空导线,外力因素,建设施工
2014/1/16 11:24,重合成功,,,原因不明,
2014/1/16 11:59,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/16 13:04,重合成功,,架空导线,外力因素,建设施工
2014/1/17 8:53,重合不成,2014/1/17 11:13,架空导线,运行维护不当,树线矛盾
2014/1/17 9:01,重合不成,2014/1/17 9:32,架空导线,用户原因,用户运行和维护管理不到位
2014/1/17 10:22,接地,2014/1/17 12:16,电缆,外力因素,建设施工
2014/1/17 16:02,接地,2014/1/17 18:32,其它,用户原因,用户运行和维护管理不到位
2014/1/18 0:44,重合成功,,柱开,设备本体,设备老化
2014/1/18 6:18,重合成功,,架空导线,外力因素,车辆
2014/1/18 8:10,接地,2014/1/18 9:09,杆塔,外力因素,车辆
2014/1/18 9:40,重合不成,2014/1/18 10:48,其它,用户原因,用户运行和维护管理不到位
2014/1/18 9:51,重合成功,,柱开,设计安装不当,安装工艺不当
2014/1/18 9:54,无重合闸,2014/1/18 14:01,电缆附件,设备本体,设备质量问题
2014/1/18 11:09,接地,2014/1/18 12:30,电缆,用户原因,外力破坏
2014/1/18 13:42,重合成功,,,原因不明,
2014/1/18 21:17,重合不成,2014/1/18 22:15,架空导线,外力因素,车辆
2014/1/19 0:27,重合成功,,电缆附件,设备本体,设备质量问题
2014/1/19 7:40,重合不成,2014/1/19 8:49,架空导线,外力因素,建设施工
2014/1/19 8:31,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/19 12:19,重合成功,,,原因不明,
2014/1/19 13:28,重合不成,2014/1/19 17:23,架空导线,外力因素,建设施工
2014/1/19 14:48,重合不成,2014/1/19 15:24,,原因不明,
2014/1/19 15:13,重合成功,,,原因不明,
2014/1/19 17:06,重合成功,,,原因不明,
2014/1/20 11:07,接地,2014/1/20 13:07,绝缘子,设备本体,设备老化
2014/1/20 14:24,重合不成,2014/1/20 15:45,电缆,用户原因,外力破坏
2014/1/20 21:17,重合不成,2014/1/21 3:50,电缆附件,设备本体,设备质量问题
2014/1/21 9:09,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/1/21 10:01,重合不成,2014/1/21 10:57,架空导线,雨雪大风,大雨、强风
2014/1/21 10:20,重合成功,,,原因不明,
2014/1/21 10:25,重合不成,2014/1/21 13:15,架空导线,外力因素,建设施工
2014/1/21 15:23,重合成功,,,原因不明,
2014/1/21 19:40,无重合闸,2014/1/21 20:35,电缆附件,设备本体,设备质量问题
2014/1/21 21:27,重合成功,,,原因不明,
2014/1/22 1:03,无重合闸,2014/1/22 2:27,电缆附件,设备本体,设备质量问题
2014/1/22 5:59,接地,2014/1/22 8:00,绝缘子,设备本体,设备老化
2014/1/22 10:05,重合不成,2014/1/22 11:30,架空导线,外力因素,车辆
2014/1/22 23:24,重合成功,,,原因不明,
2014/1/23 9:25,重合成功,,,原因不明,
2014/1/24 12:39,重合不成,2014/1/24 13:08,架空导线,外力因素,车辆
2014/1/24 14:50,重合成功,,,原因不明,
2014/1/24 14:53,重合不成,2014/1/24 15:59,令克,外力因素,车辆
2014/1/25 10:20,重合成功,,,原因不明,
2014/1/25 18:03,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/25 18:51,重合成功,,,原因不明,
2014/1/26 9:47,重合成功,,,原因不明,
2014/1/27 10:58,重合不成,2014/1/27 12:23,架空导线,外力因素,建设施工
2014/1/27 11:23,重合不成,2014/1/27 12:23,柱开,设备本体,设备老化
2014/1/29 0:37,重合成功,,,原因不明,
2014/1/29 8:40,重合成功,,,原因不明,
2014/1/29 10:29,重合不成,2014/1/29 11:05,架空导线,设计安装不当,安装工艺不当
2014/1/29 13:27,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/29 13:55,重合不成,2014/1/29 14:59,柱开,设计安装不当,未按设计规程施工
2014/1/29 17:36,重合不成,2014/1/29 18:18,柱开,外力因素,鸟害等小动物
2014/1/29 17:36,重合不成,2014/1/29 18:28,柱开,外力因素,鸟害等小动物
2014/1/30 19:31,重合不成,2014/1/30 19:53,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/31 14:16,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/1/31 16:54,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/1 8:58,重合成功,,,原因不明,
2014/2/1 11:51,重合成功,,,原因不明,
2014/2/1 16:06,重合成功,,,原因不明,
2014/2/2 1:21,重合成功,,,原因不明,
2014/2/2 21:09,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/2 22:21,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/3 14:04,重合成功,,配电变压器,用户原因,外力破坏
2014/2/3 14:26,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/3 14:26,重合成功,,,原因不明,
2014/2/4 1:21,重合成功,,,原因不明,
2014/2/5 6:03,接地,2014/2/5 8:50,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/5 10:59,重合成功,,令克,设备本体,设备老化
2014/2/5 11:19,重合不成,2014/2/5 14:52,配电变压器,雨雪大风,大雨、强风
2014/2/5 12:10,重合成功,,柱开,设备本体,设备老化
2014/2/5 12:18,接地,2014/2/5 15:45,柱开,设备本体,设备老化
2014/2/5 12:54,重合不成,2014/2/5 14:18,架空导线,外力因素,鸟害等小动物
2014/2/5 14:06,重合不成,2014/2/5 15:50,架空导线,外力因素,鸟害等小动物
2014/2/5 14:37,接地,2014/2/5 18:12,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/5 15:36,接地,2014/2/5 18:17,其它,雨雪大风,大雨、强风
2014/2/5 16:22,接地,2014/2/5 19:00,柱开,设备本体,设备老化
2014/2/5 20:05,重合不成,2014/2/5 22:16,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/5 20:05,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/5 20:12,重合成功,,架空导线,外力因素,鸟害等小动物
2014/2/5 20:45,重合不成,2014/2/6 0:15,柱开,设计安装不当,未按设计规程施工
2014/2/5 20:55,接地,2014/2/5 23:58,柱开,设备本体,设备老化
2014/2/5 22:06,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/6 1:24,重合成功,,架空导线,外力因素,鸟害等小动物
2014/2/6 1:42,重合不成,2014/2/6 4:35,架空导线,外力因素,鸟害等小动物
2014/2/6 2:23,重合成功,,,原因不明,
2014/2/6 2:25,接地,2014/2/6 4:00,绝缘子,雨雪大风,大雨、强风
2014/2/6 7:03,重合不成,2014/2/6 9:16,架空导线,外力因素,鸟害等小动物
2014/2/6 8:49,重合不成,2014/2/6 9:58,架空导线,外力因素,鸟害等小动物
2014/2/6 10:00,重合成功,,,原因不明,
2014/2/6 12:57,重合不成,2014/2/6 14:23,其它,用户原因,用户运行和维护管理不到位
2014/2/6 13:55,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/6 15:18,重合不成,2014/2/6 17:04,架空导线,外力因素,鸟害等小动物
2014/2/6 15:57,重合不成,2014/2/6 16:57,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/6 16:42,重合不成,2014/2/6 17:41,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/7 0:02,重合成功,,,原因不明,
2014/2/7 7:10,接地,2014/2/7 9:09,架空导线,雨雪大风,大雨、强风
2014/2/7 8:14,重合成功,,,原因不明,
2014/2/7 8:45,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/7 11:08,接地,2014/2/7 12:35,避雷器,用户原因,设备老旧
2014/2/7 19:46,重合不成,2014/2/7 20:58,配电变压器,用户原因,设备老旧
2014/2/8 7:10,重合成功,,,原因不明,
2014/2/8 9:42,重合成功,,架空导线,外力因素,鸟害等小动物
2014/2/8 9:43,重合成功,,架空导线,外力因素,鸟害等小动物
2014/2/9 9:29,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/9 12:29,重合不成,2014/2/9 14:00,架空导线,雨雪大风,大雨、强风
2014/2/9 15:43,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/9 16:05,重合不成,2014/2/9 17:12,架空导线,雨雪大风,大雨、强风
2014/2/9 18:49,重合不成,2014/2/9 19:50,,原因不明,
2014/2/9 19:32,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/10 17:47,重合不成,2014/2/10 19:20,配电变压器,用户原因,设备老旧
2014/2/11 0:26,重合成功,,,原因不明,
2014/2/11 8:28,重合成功,,杆塔,外力因素,鸟害等小动物
2014/2/11 10:37,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/11 10:51,接地,2014/2/11 13:06,配电变压器,设备本体,设备老化
2014/2/11 20:12,重合成功,,,原因不明,
2014/2/11 22:12,无重合闸,2014/2/12 0:47,电缆,用户原因,用户运行和维护管理不到位
2014/2/12 21:23,无重合闸,2014/2/12 23:27,环网柜,设计安装不当,安装工艺不当
2014/2/12 21:43,重合不成,2014/2/12 22:49,架空导线,外力因素,鸟害等小动物
2014/2/12 22:58,接地,2014/2/12 23:42,避雷器,设备本体,设备老化
2014/2/13 3:06,重合不成,2014/2/13 5:02,分支箱,设备本体,设备老化
2014/2/13 5:39,重合不成,2014/2/13 6:02,电缆附件,设备本体,设备老化
2014/2/13 9:25,接地,2014/2/13 9:50,架空导线,外力因素,鸟害等小动物
2014/2/13 10:31,重合成功,,,原因不明,
2014/2/13 12:24,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/13 13:34,接地,2014/2/13 15:48,电缆,用户原因,外力破坏
2014/2/13 19:49,重合不成,2014/2/13 22:32,其它,用户原因,用户运行和维护管理不到位
2014/2/14 10:42,重合成功,,,原因不明,
2014/2/14 15:06,重合不成,2014/2/14 15:46,架空导线,外力因素,鸟害等小动物
2014/2/15 7:25,重合不成,2014/2/15 8:52,架空导线,外力因素,建设施工
2014/2/15 9:22,重合成功,,架空导线,外力因素,车辆
2014/2/15 9:30,重合不成,2014/2/15 11:16,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/15 17:37,重合不成,2014/2/15 21:00,拉线,外力因素,车辆
2014/2/15 18:23,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/2/16 6:16,重合不成,2014/2/16 9:32,架空导线,外力因素,鸟害等小动物
2014/2/16 6:57,重合不成,2014/2/16 9:16,架空导线,外力因素,鸟害等小动物
2014/2/16 8:57,重合不成,2014/2/16 13:22,柱开,设备本体,设备老化
2014/2/17 9:58,重合成功,,架空导线,运行维护不当,树线矛盾
2014/2/17 17:32,重合不成,2014/2/17 19:41,电缆,用户原因,外力破坏
2014/2/17 19:49,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/17 20:03,重合成功,,柱开,设备本体,设备老化
2014/2/18 6:20,重合成功,,柱开,设备本体,设备老化
2014/2/18 13:06,重合成功,,架空导线,雨雪大风,大雨、强风
2014/2/18 13:09,接地,2014/2/18 14:07,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/18 16:10,重合不成,2014/2/18 17:54,分支箱,设备本体,设备老化
2014/2/18 23:30,接地,2014/2/19 0:35,配电变压器,用户原因,设备老旧
2014/2/19 8:14,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/19 8:20,重合不成,2014/2/19 9:40,柱开,外力因素,外部异物（如，漂浮物）
2014/2/19 10:30,无重合闸,2014/2/19 11:11,电缆附件,设备本体,设备质量问题
2014/2/19 10:30,无重合闸,2014/2/19 12:09,开关柜,其他原因,35kV及以上输变电设施影响
2014/2/19 15:10,重合不成,2014/2/19 16:32,柱开,用户原因,外力破坏
2014/2/19 15:21,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/2/19 19:09,重合成功,,,原因不明,
2014/2/19 20:18,重合成功,,,原因不明,
2014/2/20 9:57,重合不成,2014/2/20 11:26,架空导线,外力因素,鸟害等小动物
2014/2/20 13:11,重合成功,,柱开,设备本体,设备老化
2014/2/20 18:36,重合成功,,,原因不明,
2014/2/20 18:36,重合成功,,,原因不明,
2014/2/21 10:59,接地,2014/2/21 12:10,避雷器,用户原因,用户运行和维护管理不到位
2014/2/21 15:10,接地,2014/2/21 16:28,架空导线,外力因素,车辆
2014/2/21 17:36,重合不成,2014/2/21 19:41,柱开,设备本体,设备老化
2014/2/21 18:54,重合成功,,,原因不明,
2014/2/22 23:03,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/23 9:28,接地,2014/2/23 9:52,拉线,设备本体,设备老化
2014/2/23 10:34,重合成功,,,原因不明,
2014/2/23 10:58,重合成功,,架空导线,其他原因,35kV及以上输变电设施影响
2014/2/23 16:52,无重合闸,2014/2/23 18:23,电缆附件,设备本体,设备质量问题
2014/2/23 19:43,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/23 20:00,接地,2014/2/23 21:47,配电变压器,用户原因,用户运行和维护管理不到位
2014/2/24 3:49,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/24 3:49,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/24 10:50,无重合闸,2014/2/24 11:52,架空导线,设计安装不当,设计不当
2014/2/24 13:27,重合不成,2014/2/24 14:01,电缆,用户原因,外力破坏
2014/2/24 18:51,重合成功,,,原因不明,
2014/2/24 20:31,重合不成,2014/2/24 23:03,柱开,设计安装不当,安装工艺不当
2014/2/25 8:06,重合成功,,柱开,外力因素,鸟害等小动物
2014/2/26 5:03,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/2/26 23:35,重合成功,,,原因不明,
2014/2/27 1:37,重合不成,2014/2/27 4:00,电缆附件,设备本体,设备质量问题
2014/2/27 14:14,重合不成,2014/2/27 15:42,绝缘子,设备本体,设备老化
2014/2/27 14:23,重合不成,2014/2/27 15:07,架空导线,外力因素,建设施工
2014/2/28 7:25,重合成功,,,原因不明,
2014/2/28 7:55,重合成功,,,原因不明,
2014/3/1 2:34,重合成功,,柱开,用户原因,外力破坏
2014/3/1 3:48,重合成功,,架空导线,雨雪大风,大雨、强风
2014/3/1 4:47,重合不成,2014/3/1 7:30,柱开,用户原因,外力破坏
2014/3/1 6:50,无重合闸,2014/3/1 8:59,电缆附件,设备本体,设备质量问题
2014/3/1 9:13,重合成功,,,原因不明,
2014/3/1 12:31,接地,2014/3/1 13:31,架空导线,外力因素,建设施工
2014/3/1 20:04,重合成功,,,原因不明,
2014/3/2 4:12,无重合闸,2014/3/2 7:38,电缆附件,设备本体,设备质量问题
2014/3/2 7:44,重合不成,2014/3/2 9:25,架空导线,设计安装不当,未按设计规程施工
2014/3/2 13:11,重合成功,,,原因不明,
2014/3/3 8:36,重合成功,,,原因不明,
2014/3/3 11:30,接地,2014/3/3 14:25,电缆,外力因素,建设施工
2014/3/3 12:21,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/3 13:33,重合成功,,架空导线,雨雪大风,大雨、强风
2014/3/3 13:57,重合成功,,架空导线,外力因素,建设施工
2014/3/3 14:30,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/3/3 15:27,重合不成,2014/3/3 16:10,架空导线,外力因素,建设施工
2014/3/3 16:20,无重合闸,2014/3/3 19:25,柱开,设计安装不当,安装工艺不当
2014/3/3 18:29,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/4 3:57,重合不成,2014/3/4 5:32,架空导线,外力因素,鸟害等小动物
2014/3/4 5:44,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/3/4 9:22,重合成功,,柱开,用户原因,外力破坏
2014/3/4 12:44,接地,2014/3/4 14:51,架空导线,外力因素,建设施工
2014/3/4 13:32,重合成功,,柱开,设备本体,设备老化
2014/3/4 15:15,重合成功,,,原因不明,
2014/3/4 17:02,重合成功,,,原因不明,
2014/3/4 18:02,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/3/4 18:04,重合不成,2014/3/4 20:35,电缆附件,设备本体,设备质量问题
2014/3/5 10:12,重合不成,2014/3/5 11:17,其它,用户原因,用户运行和维护管理不到位
2014/3/5 10:16,重合不成,2014/3/5 11:03,架空导线,雨雪大风,大雨、强风
2014/3/5 12:12,重合不成,2014/3/5 16:45,电缆,用户原因,用户运行和维护管理不到位
2014/3/5 19:47,重合成功,,,原因不明,
2014/3/6 8:26,重合成功,,,原因不明,
2014/3/6 8:38,接地,2014/3/6 9:18,架空导线,外力因素,建设施工
2014/3/6 15:22,无重合闸,2014/3/6 16:16,配电变压器,用户原因,用户运行和维护管理不到位
2014/3/6 21:27,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/3/7 13:28,重合不成,2014/3/7 18:23,电缆,外力因素,建设施工
2014/3/7 15:43,重合不成,2014/3/8 0:21,电缆,用户原因,用户运行和维护管理不到位
2014/3/7 19:39,重合成功,,架空导线,外力因素,鸟害等小动物
2014/3/7 21:21,重合不成,2014/3/7 22:20,令克,用户原因,用户运行和维护管理不到位
2014/3/8 10:26,重合成功,,架空导线,外力因素,建设施工
2014/3/8 12:20,重合不成,2014/3/8 13:02,电缆,用户原因,用户运行和维护管理不到位
2014/3/8 13:02,重合成功,,,原因不明,
2014/3/9 6:47,重合不成,2014/3/9 7:59,令克,设备本体,设备老化
2014/3/9 9:25,重合成功,,柱开,用户原因,外力破坏
2014/3/9 12:13,重合不成,2014/3/9 13:57,柱开,用户原因,外力破坏
2014/3/9 14:27,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/10 2:28,无重合闸,2014/3/10 4:08,配电变压器,用户原因,用户运行和维护管理不到位
2014/3/10 9:19,重合不成,2014/3/10 10:40,架空导线,外力因素,鸟害等小动物
2014/3/10 10:10,接地,2014/3/10 12:26,其它,用户原因,用户运行和维护管理不到位
2014/3/10 12:02,重合成功,,,原因不明,
2014/3/10 14:33,重合成功,,金具,设备本体,设备老化
2014/3/10 15:15,重合不成,2014/3/10 16:00,架空导线,用户原因,外力破坏
2014/3/10 19:10,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/3/10 19:36,无重合闸,2014/3/10 20:45,配电变压器,用户原因,用户运行和维护管理不到位
2014/3/11 5:22,重合成功,,,原因不明,
2014/3/11 7:28,重合成功,,,原因不明,
2014/3/11 11:58,重合不成,2014/3/11 12:33,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/11 12:21,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/11 12:53,重合成功,,架空导线,外力因素,车辆
2014/3/11 14:12,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/11 14:37,重合成功,,,原因不明,
2014/3/11 17:24,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/3/11 20:13,接地,2014/3/11 20:21,架空导线,雨雪大风,大雨、强风
2014/3/12 6:05,重合不成,2014/3/12 8:15,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/12 6:13,重合成功,,架空导线,外力因素,鸟害等小动物
2014/3/12 11:38,重合不成,2014/3/12 13:18,架空导线,外力因素,鸟害等小动物
2014/3/12 14:58,重合成功,,,原因不明,
2014/3/12 15:05,重合成功,,绝缘子,设备本体,设备老化
2014/3/12 15:15,重合不成,2014/3/12 16:05,架空导线,用户原因,外力破坏
2014/3/12 15:21,重合成功,,架空导线,外力因素,建设施工
2014/3/12 16:58,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/12 17:09,重合不成,2014/3/12 18:26,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/12 17:26,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/3/12 21:43,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/13 5:38,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/3/13 8:12,重合不成,2014/3/13 9:43,架空导线,外力因素,车辆
2014/3/13 11:07,重合成功,,,原因不明,
2014/3/13 11:47,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/13 14:28,重合不成,2014/3/13 15:38,架空导线,外力因素,建设施工
2014/3/13 14:33,重合成功,,,原因不明,
2014/3/13 16:37,重合不成,2014/3/13 17:55,架空导线,外力因素,建设施工
2014/3/13 16:55,重合成功,,架空导线,外力因素,建设施工
2014/3/13 17:10,重合成功,,令克,用户原因,用户运行和维护管理不到位
2014/3/14 5:58,重合不成,2014/3/14 8:10,柱开,设备本体,设备老化
2014/3/14 6:51,重合成功,,,原因不明,
2014/3/14 13:08,无重合闸,2014/3/14 14:31,电缆附件,设备本体,设备质量问题
2014/3/14 21:19,重合成功,,,原因不明,
2014/3/14 21:49,重合成功,,配电变压器,用户原因,用户运行和维护管理不到位
2014/3/15 7:07,重合成功,,,原因不明,
2014/3/15 13:05,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/15 13:05,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/15 16:47,重合不成,2014/3/15 19:30,电缆,外力因素,建设施工
2014/3/16 1:34,接地,2014/3/16 5:30,架空导线,设备本体,设备老化
2014/3/16 8:13,重合不成,2014/3/16 9:15,架空导线,外力因素,建设施工
2014/3/16 10:16,重合不成,2014/3/16 12:01,绝缘子,设备本体,设备老化
2014/3/16 13:40,重合成功,,架空导线,外力因素,外部异物（如，漂浮物）
2014/3/16 15:16,重合成功,,,原因不明,
